"","Tenant applied direct","","","Nominated by local housing authority","","","Internal transfer","","","Referred by local authority housing department","","","Social services","","","Voluntary agency","","","Police, probation, prison","","","Other social landlord","","","Other","",""
"Ethnicity","2015/16 %","2016/17 %","2017/18 %","2015/16 %","2016/17 %","2017/18 %","2015/16 %","2016/17 %","2017/18 %","2015/16 %","2016/17 %","2017/18 %","2015/16 %","2016/17 %","2017/18 %","2015/16 %","2016/17 %","2017/18 %","2015/16 %","2016/17 %","2017/18 %","2015/16 %","2016/17 %","2017/18 %","2015/16 %","2016/17 %","2017/18 %"
"All","43.8","45.5","46.3","25.7","24.9","25.4","13.2","12.8","12.5","4.9","4.9","4.5","2.7","2.9","2.8","1.8","1.5","1.4","1.3","0.9","0.7","0.5","0.5","0.5","6.2","6.2","6.0"
"Asian","40.2","43.4","45.0","28.9","27.0","26.6","10.6","10.1","10.1","4.3","4.2","4.1","2.7","3.2","3.0","3.6","2.9","2.4","1.6","1.0","0.8","0.7","0.5","0.7","7.6","7.6","7.4"
"Bangladeshi","35.4","41.5","44.6","38.6","32.9","30.9","13.4","11.7","11.7","2.9","3.1","2.2","2.0","2.5","2.0","2.0","1.9","1.6","0.8","0.6","0.8","0.4","0.5","0.5","4.6","5.2","5.6"
"Chinese","41.0","41.3","42.3","28.5","29.7","26.6","14.5","11.3","11.9","3.0","3.4","5.9","1.6","3.6","4.7","1.3","1.9","1.2","0.0","0.5","0.0","1.0","0.6","0.9","9.2","7.9","6.5"
"Indian","41.2","41.3","41.6","24.4","24.6","24.8","9.9","10.9","10.2","5.2","5.4","5.1","3.1","4.4","3.2","3.8","3.0","3.2","2.1","1.1","1.4","0.6","0.2","0.6","9.6","9.0","9.8"
"Pakistani","41.6","43.4","43.6","26.1","26.2","27.1","8.4","8.9","8.4","4.2","4.5","4.8","2.8","2.5","3.3","5.2","4.1","3.3","2.7","1.8","1.0","0.7","0.5","0.9","8.4","8.0","7.7"
"Asian other","41.7","46.4","48.2","27.4","24.9","24.2","10.9","9.8","10.4","5.2","4.2","3.9","2.9","3.6","3.2","3.1","2.1","1.8","0.6","0.5","0.4","0.8","0.6","0.6","7.4","7.9","7.2"
"Black","37.4","40.2","41.3","26.6","23.4","23.9","13.8","13.5","13.5","5.5","5.8","5.0","2.5","2.8","3.3","3.1","2.8","2.7","1.2","0.9","0.7","0.8","0.8","0.7","9.1","9.8","9.0"
"Black African","40.0","42.4","42.8","27.9","24.7","24.9","12.1","12.2","12.0","5.0","5.3","4.6","2.0","2.3","3.1","3.3","2.8","2.9","0.6","0.5","0.4","0.9","0.7","0.6","8.2","9.2","8.7"
"Black Caribbean","31.5","34.7","36.3","27.0","23.6","25.0","14.6","14.4","14.1","6.8","6.9","6.0","3.2","3.5","4.0","3.3","3.3","2.6","2.1","1.6","1.1","0.9","1.0","0.8","10.6","11.0","10.1"
"Black other","42.6","45.1","46.6","20.2","17.8","18.1","18.2","16.6","17.8","4.4","5.3","4.1","2.5","2.8","2.5","2.0","1.8","2.1","1.4","0.8","0.7","0.4","0.5","0.7","8.3","9.3","7.4"
"Mixed","36.3","39.2","39.1","28.5","26.1","28.3","10.7","10.6","10.8","6.8","7.0","6.4","3.0","3.3","3.7","3.0","2.8","2.2","1.9","1.4","1.0","0.8","0.8","0.7","8.9","8.9","7.7"
"Mixed White/Asian","37.8","40.0","35.5","30.0","25.3","29.5","10.5","9.6","11.3","7.3","8.2","7.9","2.3","3.2","4.1","2.8","3.0","1.4","1.1","1.4","1.5","0.4","0.9","0.7","7.8","8.5","8.0"
