"Measure","Income Bracket","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Value","Denominator"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","2","71324"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","8","71324"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","13","71324"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","13","71324"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","10","71324"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","9","71324"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","8","71324"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","6","71324"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","5","71324"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","5","71324"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 5+2","22","71324"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","1","66117"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","8","66117"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","13","66117"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","13","66117"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","10","66117"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","9","66117"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","7","66117"
"Average weekly household income","Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","6","66117"
"Average weekly household income","Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","5","66117"
"Average weekly household income","Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","5","66117"
"Average weekly household income","Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2009/10-2011/12","Three-year average","White","ONS 5+2","22","66117"
"Average weekly household income","Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","1","63385"
"Average weekly household income","Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","8","63385"
"Average weekly household income","Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","13","63385"
"Average weekly household income","Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","13","63385"
"Average weekly household income","Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","10","63385"
"Average weekly household income","Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","9","63385"
"Average weekly household income","Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2009/10-2011/12","Three-year average","White British","ONS 5+2","7","63385"
