"","All","Asian","Black","Chinese","Mixed","White","Other"
"Local authority","%","%","%","%","%","%","%"
"Barking and Dagenham","81","86","84","100","85","76","79"
"Barnet","86","89","84","88","87","87","83"
"Barnsley","80","95","86","100","85","80","70"
"Bath and North East Somerset","82","76","80","100","81","82","84"
"Bedford","80","85","83","100","76","80","76"
"Bexley","84","92","87","92","86","82","81"
"Birmingham","81","83","81","89","83","80","81"
"Blackburn with Darwen","82","84","76","86","84","81","89"
"Blackpool","82","90","89","90","85","82","89"
"Bolton","81","84","75","89","81","82","78"
"Bournemouth, Christchurch and Poole","82","92","89","96","83","82","77"
"Bracknell Forest","85","89","87","100","92","84","87"
"Bradford","81","84","81","100","79","80","80"
"Brent","83","87","82","91","86","84","76"
"Brighton and Hove","80","77","74","79","82","81","71"
"Bristol, City of","82","78","79","91","82","83","66"
"Bromley","86","96","85","96","87","85","82"
"Buckinghamshire","82","85","80","78","81","82","88"
"Bury","82","78","75","100","81","83","79"
"Calderdale","83","81","80","90","87","83","75"
"Cambridgeshire","80","85","79","93","82","80","87"
"Camden","81","80","81","88","83","83","79"
"Central Bedfordshire","82","87","87","100","86","82","63"
"Cheshire East","84","90","88","90","91","84","83"
"Cheshire West and Chester","80","85","60","92","81","80","63"
"City of London","!","!","!","!","!","!","!"
"Cornwall","81","94","67","88","86","81","85"
"County Durham","82","86","86","95","86","82","84"
"Coventry","80","83","85","91","82","79","81"
"Croydon","84","87","81","90","84","84","82"
"Cumbria","80","94","75","100","82","80","65"
"Darlington","83","77","89","100","73","84","75"
"Derby","83","86","86","95","87","81","84"
"Derbyshire","80","85","80","79","83","80","67"
"Devon","82","83","91","89","91","82","73"
"Doncaster","80","83","81","93","82","80","78"
"Dorset","81","76","89","86","81","81","40"
"Dudley","79","82","76","79","78","80","70"
"Ealing","84","86","84","100","88","85","82"
"East Riding of Yorkshire","83","93","80","100","81","83","78"
"East Sussex","82","90","88","78","81","82","67"
"Enfield","81","90","82","96","86","79","84"
"Essex","82","89","84","89","84","82","80"
"Gateshead","83","95","92","100","79","83","73"
"Gloucestershire","81","82","86","94","80","81","89"
"Greenwich","83","89","87","92","83","79","82"
"Hackney","86","88","85","100","90","85","89"
"Halton","80","100","100","100","80","80","83"
"Hammersmith and Fulham","86","82","87","100","86","88","78"
"Hampshire","83","87","87","96","84","83","74"
"Haringey","84","86","85","91","85","86","79"
"Harrow","87","92","83","91","84","84","76"
"Hartlepool","84","79","82","100","89","84","60"
"Havering","83","90","84","100","85","82","84"
"Herefordshire, County of","82","92","50","100","75","82","70"
"Hertfordshire","84","89","82","94","88","83","79"
"Hillingdon","84","90","88","100","88","79","91"
"Hounslow","85","90","84","93","86","82","82"
"Isle of Wight","78","87","100","100","78","78","100"
"Isles of Scilly","!","!","!","!","!","!","!"
"Islington","84","81","83","100","87","85","83"
"Kensington and Chelsea","85","86","88","100","88","85","80"
"Kent","82","87","89","100","85","81","79"
"Kingston upon Hull, City of","79","89","91","100","87","79","75"
"Kingston upon Thames","84","83","80","100","85","84","84"
"Kirklees","79","81","82","79","74","80","75"
"Knowsley","80","90","93","100","85","80","88"
"Lambeth","82","88","81","100","79","86","78"
"Lancashire","81","82","75","81","80","82","69"
"Leeds","79","79","79","91","82","80","77"
"Leicester","81","84","85","84","83","77","75"
"Leicestershire","83","89","92","93","86","83","83"
"Lewisham","81","81","79","85","84","84","80"
"Lincolnshire","81","92","88","90","84","81","64"
"Liverpool","78","83","85","81","83","78","72"
"Luton","79","81","84","100","77","77","80"
"Manchester","79","80","84","83","81","78","77"
"Medway","82","90","89","94","80","82","74"
"Merton","83","88","78","91","81","84","85"
"Middlesbrough","78","83","76","100","77","79","73"
"Milton Keynes","84","89","84","88","88","83","81"
"Newcastle upon Tyne","80","83","78","95","83","81","82"
"Newham","87","89","89","100","88","85","85"
"Norfolk","79","83","88","79","80","79","75"
"North East Lincolnshire","82","90","100","0","81","82","90"
"North Lincolnshire","82","86","64","100","78","82","53"
"North Somerset","84","93","75","33","82","84","57"
"North Tyneside","83","82","88","100","80","84","64"
"North Yorkshire","82","85","77","91","86","82","81"
"Northamptonshire","82","84","84","93","83","82","91"
"Northumberland","84","90","100","92","85","84","86"
"Nottingham","79","82","86","92","77","79","76"
"Nottinghamshire","80","85","87","93","78","80","81"
"Oldham","79","76","82","88","79","82","64"
"Oxfordshire","82","79","80","83","83","82","78"
"Peterborough","77","84","86","100","80","76","75"
"Plymouth","83","93","79","100","86","83","77"
"Portsmouth","78","81","75","86","85","78","82"
"Reading","83","89","84","92","80","82","76"
"Redbridge","84","88","82","93","82","81","77"
"Redcar and Cleveland","81","71","100","N/A","92","81","33"
"Richmond upon Thames","87","87","76","87","89","88","80"
"Rochdale","78","76","76","80","83","79","74"
"Rotherham","80","82","76","88","81","80","71"
"Rutland","85","83","100","100","91","86","100"
"Salford","80","84","80","87","84","80","74"
"Sandwell","81","85","84","80","84","79","70"
"Sefton","83","88","93","100","80","83","67"
"Sheffield","77","74","80","95","76","78","67"
"Shropshire","81","68","83","100","87","81","64"
"Slough","86","90","87","100","86","80","82"
"Solihull","85","91","91","88","84","85","70"
"Somerset","81","86","88","100","80","81","67"
"South Gloucestershire","85","89","92","94","88","85","78"
"South Tyneside","82","78","67","100","78","83","78"
"Southampton","82","87","83","100","84","81","79"
"Southend-on-Sea","83","90","86","100","83","82","92"
"Southwark","84","88","84","96","82","87","77"
"St. Helens","82","85","83","100","97","81","82"
"Staffordshire","84","84","79","87","84","84","76"
"Stockport","82","82","79","94","80","82","81"
"Stockton-on-Tees","84","84","87","100","86","84","72"
"Stoke-on-Trent","78","80","84","100","78","78","59"
"Suffolk","81","83","86","91","85","81","79"
"Sunderland","81","80","87","89","81","81","50"
"Surrey","84","89","81","96","88","83","81"
"Sutton","85","92","89","95","83","83","87"
"Swindon","80","88","84","100","83","79","78"
"Tameside","78","79","81","82","79","79","79"
"Telford and Wrekin","84","80","86","100","87","84","67"
"Thurrock","83","91","89","90","87","80","71"
"Torbay","84","91","100","100","86","84","70"
"Tower Hamlets","84","84","87","100","88","83","79"
"Trafford","85","86","76","95","84","86","88"
"Wakefield","80","83","86","75","80","80","74"
"Walsall","82","87","84","90","86","81","71"
"Waltham Forest","86","87","86","89","87","86","83"
"Wandsworth","85","85","82","90","88","87","81"
"Warrington","85","94","90","94","89","85","64"
"Warwickshire","84","88","90","100","87","83","75"
"West Berkshire","82","88","87","100","83","82","92"
"West Sussex","81","86","85","94","83","81","75"
"Westminster","86","86","81","90","86","89","85"
"Wigan","80","84","78","100","77","80","83"
"Wiltshire","80","90","76","92","76","80","70"
"Windsor and Maidenhead","83","84","78","100","85","83","90"
"Wirral","82","85","100","100","89","82","65"
"Wokingham","84","88","93","96","89","83","84"
"Wolverhampton","81","85","85","86","82","79","87"
"Worcestershire","82","80","84","90","85","82","77"
"York","84","94","100","50","91","84","87"
