"","Education, apprenticeships or employment","Education","Apprenticeships","Employment","No sustained education/employment","Unknown"
"Ethnicity","%","%","%","%","%","%"
"All","81","47","10","25","13","6"
"Asian","84","69","4","11","10","6"
"Bangladeshi","84","68","4","12","10","5"
"Indian","88","73","5","10","7","5"
"Pakistani","81","65","4","12","12","7"
"Asian other","85","71","3","12","9","6"
"Black","83","65","4","13","11","6"
"Black African","85","71","3","11","9","6"
"Black Caribbean","78","52","6","19","16","7"
"Black other","82","62","4","16","12","6"
"Chinese","87","79","2","6","5","8"
"Mixed","80","51","6","22","14","6"
"Mixed White/Asian","83","57","6","20","12","5"
"Mixed White/Black African","81","55","6","20","13","5"
"Mixed White/Black Caribbean","77","42","8","27","17","6"
"Mixed other","81","56","5","20","13","6"
"White","82","43","11","28","13","5"
"White British","82","42","11","29","13","5"
"White Irish","82","51","7","24","13","5"
"Gypsy/Roma","42","13","4","24","34","24"
"Irish Traveller","46","22","6","18","33","21"
"White other","78","52","4","21","12","10"
"Other","80","65","3","12","12","8"
"Unknown","55","39","2","14","13","32"
