"","Bottom quintile (lowest income)","Second lowest quintile","Middle quintile","Second highest quintile","Top quintile (highest income)"
"Ethnicity","%","%","%","%","%"
"Asian","33","25","17","13","13"
"Bangladeshi","44","30","16","6","4"
"Chinese","32","18","17","13","20"
"Indian","21","18","20","20","20"
"Pakistani","42","34","13","6","5"
"Asian other","35","26","14","14","12"
"Black","40","22","17","13","9"
"Mixed","34","15","19","17","15"
"White","18","20","21","21","21"
"White British","17","20","21","21","21"
"White other","25","20","17","19","20"
"Other","40","19","12","15","13"
