"Ethnicity","Income_band","%","Private renters ('000s)","All households ('000s)"
"White British","Up to £99","27","48","179"
"White British","£100 to £199","15","220","1,501"
"White British","£200 to £299","18","355","2,008"
"White British","£300 to £399","18","366","2,028"
"White British","£400 to £499","19","329","1,767"
"White British","£500 to £599","19","315","1,668"
"White British","£600 to £699","17","262","1,576"
"White British","£700 to £799","16","209","1,282"
"White British","£800 to £899","16","178","1,148"
"White British","£900 to £999","15","136","936"
"White British","£1000 and above","11","512","4,636"
"Other than White British","Up to £99","26","11","40"
"Other than White British","£100 to £199","28","86","311"
"Other than White British","£200 to £299","36","155","430"
"Other than White British","£300 to £399","38","170","447"
"Other than White British","£400 to £499","43","154","362"
"Other than White British","£500 to £599","46","200","432"
"Other than White British","£600 to £699","44","164","373"
"Other than White British","£700 to £799","43","120","279"
"Other than White British","£800 to £899","49","136","281"
"Other than White British","£900 to £999","32","61","190"
"Other than White British","£1000 and above","35","392","1,117"
