"Ethnicity","Local Authority ","%","Number"
"All","Barking and Dagenham","79","2,703"
"All","Barnet","82","3,249"
"All","Barnsley","79","2,152"
"All","Bath and North East Somerset","79","1,492"
"All","Bedford","71","1,438"
"All","Bexley","83","2,654"
"All","Birmingham","76","11,809"
"All","Blackburn with Darwen","78","1,699"
"All","Blackpool","77","1,277"
"All","Bolton","80","3,018"
"All","Bournemouth","82","1,352"
"All","Bracknell Forest","78","1,067"
"All","Bradford","76","5,842"
"All","Brent","76","2,767"
"All","Brighton and Hove","80","2,110"
"All","Bristol, City of","78","3,602"
"All","Bromley","87","3,177"
"All","Buckinghamshire","78","4,784"
"All","Bury","78","1,793"
"All","Calderdale","74","1,949"
"All","Cambridgeshire","75","5,089"
"All","Camden","82","1,232"
"All","Central Bedfordshire","78","2,571"
"All","Cheshire East","80","3,229"
"All","Cheshire West and Chester","75","2,860"
"All","City of London","90","26"
"All","Cornwall","77","4,451"
"All","County Durham","81","4,476"
"All","Coventry","77","3,231"
"All","Croydon","80","3,555"
"All","Cumbria","80","4,118"
"All","Darlington","82","1,009"
"All","Derby","74","2,389"
"All","Derbyshire","79","6,478"
"All","Devon","78","6,053"
"All","Doncaster","77","2,708"
"All","Dorset","76","3,264"
"All","Dudley","77","2,803"
"All","Ealing","79","3,242"
"All","East Riding of Yorkshire","79","2,799"
"All","East Sussex","79","4,217"
"All","Enfield","79","3,499"
"All","Essex","80","12,829"
"All","Gateshead","83","1,721"
"All","Gloucestershire","77","4,987"
"All","Greenwich","82","2,655"
"All","Hackney","84","2,109"
"All","Halton","75","1,103"
"All","Hammersmith and Fulham","82","1,094"
"All","Hampshire","82","11,843"
"All","Haringey","82","2,509"
"All","Harrow","84","2,308"
"All","Hartlepool","82","925"
"All","Havering","83","2,462"
"All","Herefordshire, County of","79","1,493"
"All","Hertfordshire","79","10,798"
"All","Hillingdon","81","2,968"
"All","Hounslow","83","2,455"
"All","Isle of Wight","73","964"
"All","Isles of Scilly","71","24"
"All","Islington","81","1,505"
"All","Kensington and Chelsea","87","832"
"All","Kent","82","14,132"
"All","Kingston upon Hull, City of","78","2,434"
"All","Kingston upon Thames","81","1,455"
"All","Kirklees","76","4,024"
"All","Knowsley","74","1,271"
"All","Lambeth","83","2,459"
"All","Lancashire","78","10,651"
"All","Leeds","74","6,664"
"All","Leicester","76","3,399"
"All","Leicestershire","80","6,049"
"All","Lewisham","79","2,675"
"All","Lincolnshire","76","5,852"
"All","Liverpool","75","3,708"
"All","Luton","75","2,324"
"All","Manchester","75","4,955"
"All","Medway","78","2,573"
"All","Merton","79","1,819"
"All","Middlesbrough","81","1,454"
"All","Milton Keynes","79","2,779"
"All","Newcastle upon Tyne","81","2,249"
"All","Newham","85","3,924"
"All","Norfolk","75","6,594"
"All","North East Lincolnshire","81","1,527"
"All","North Lincolnshire","80","1,563"
"All","North Somerset","80","1,896"
"All","North Tyneside","82","1,834"
"All","North Yorkshire","78","4,536"
"All","Northamptonshire","77","6,962"
"All","Northumberland","81","2,704"
"All","Nottingham","75","2,601"
"All","Nottinghamshire","79","7,208"
"All","Oldham","77","2,593"
"All","Oxfordshire","77","5,465"
"All","Peterborough","70","1,937"
"All","Plymouth","76","2,177"
"All","Poole","79","1,114"
"All","Portsmouth","73","1,561"
