"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Numerator","Denominator"
"Percentage of pupils reaching the key stage 2 expected standard in writing by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Barking and Dagenham","Country","E09000002","All","10-11","79","%","2703","3410"
"Percentage of pupils reaching the key stage 2 expected standard in writing by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Barnet","Country","E09000003","All","10-11","82","%","3249","3978"
"Percentage of pupils reaching the key stage 2 expected standard in writing by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Barnsley","Country","E08000016","All","10-11","79","%","2152","2721"
"Percentage of pupils reaching the key stage 2 expected standard in writing by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bath and North East Somerset","Country","E06000022","All","10-11","79","%","1492","1899"
"Percentage of pupils reaching the key stage 2 expected standard in writing by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bedford","Country","E06000055","All","10-11","71","%","1438","2023"
"Percentage of pupils reaching the key stage 2 expected standard in writing by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bexley","Country","E09000004","All","10-11","83","%","2654","3183"
"Percentage of pupils reaching the key stage 2 expected standard in writing by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Birmingham","Country","E08000025","All","10-11","76","%","11809","15587"
"Percentage of pupils reaching the key stage 2 expected standard in writing by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Blackburn with Darwen","Country","E06000008","All","10-11","78","%","1699","2176"
"Percentage of pupils reaching the key stage 2 expected standard in writing by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Blackpool","Country","E06000009","All","10-11","77","%","1277","1653"
"Percentage of pupils reaching the key stage 2 expected standard in writing by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bolton","Country","E08000001","All","10-11","80","%","3018","3766"
"Percentage of pupils reaching the key stage 2 expected standard in writing by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bournemouth","Country","E06000028","All","10-11","82","%","1352","1654"
"Percentage of pupils reaching the key stage 2 expected standard in writing by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bracknell Forest","Country","E06000036","All","10-11","78","%","1067","1374"
"Percentage of pupils reaching the key stage 2 expected standard in writing by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bradford","Country","E08000032","All","10-11","76","%","5842","7657"
"Percentage of pupils reaching the key stage 2 expected standard in writing by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Brent","Country","E09000005","All","10-11","76","%","2767","3644"
"Percentage of pupils reaching the key stage 2 expected standard in writing by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Brighton and Hove","Country","E06000043","All","10-11","80","%","2110","2631"
"Percentage of pupils reaching the key stage 2 expected standard in writing by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bristol, City of","Country","E06000023","All","10-11","78","%","3602","4641"
"Percentage of pupils reaching the key stage 2 expected standard in writing by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bromley","Country","E09000006","All","10-11","87","%","3177","3652"
"Percentage of pupils reaching the key stage 2 expected standard in writing by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Buckinghamshire","Country","E10000002","All","10-11","78","%","4784","6119"
