"","Boys","","","","Girls","","",""
"Ethnicity","Expected standard","Higher standard","Average scaled score","Progress score","Expected standard","Higher standard","Average scaled score","Progress score"
"All","69","22","103","-0.5","78","32","106","0.6"
"Asian","70","24","104","0.0","79","33","106","1.1"
"Bangladeshi","70","24","104","0.5","80","32","106","1.4"
"Indian","77","31","105","0.2","84","42","107","1.5"
"Pakistani","64","18","102","-0.3","74","27","104","0.7"
"Asian other","72","25","104","0.2","80","34","106","1.2"
"Black","66","18","103","-0.5","78","29","105","0.9"
"Black African","69","20","103","-0.2","80","31","106","1.2"
"Black Caribbean","59","13","101","-1.5","74","25","104","0.2"
"Black other","64","16","102","-0.5","76","26","104","0.8"
"Chinese","80","38","107","1.0","85","48","108","2.0"
"Mixed","70","24","104","-0.4","81","35","106","1.1"
"Mixed White/Asian","76","30","105","0.1","84","42","107","1.5"
"Mixed White/Black African","69","22","103","-0.4","82","34","106","1.1"
"Mixed White/Black Caribbean","64","17","102","-1.1","77","28","105","0.4"
"Mixed other","71","25","104","-0.1","81","36","106","1.4"
"White","69","22","103","-0.7","78","32","105","0.5"
"White British","70","23","103","-0.8","79","32","106","0.3"
"White Irish","80","33","106","1.2","84","44","108","2.3"
"Gypsy/Roma","23","4","94","-1.6","33","8","96","-0.6"
"Irish Traveller","34","7","97","-1.2","44","11","99","-0.1"
"White other","64","20","103","0.6","74","30","105","1.9"
"Other","63","19","102","0.4","72","27","104","1.4"
"Unknown","53","17","102","-0.6","63","26","104","0.9"
