"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","FSM eligibility","Value","Denominator"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All pupils"," ","All","All other pupils","73","549204"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All pupils"," ","Boys","All other pupils","67","281479"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All pupils"," ","Girls","All other pupils","80","267725"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All pupils"," ","All","All pupils","71","638946"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All pupils"," ","Boys","All pupils","64","327425"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All pupils"," ","Girls","All pupils","78","311521"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All pupils"," ","All","FSM eligible","55","89742"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All pupils"," ","Boys","FSM eligible","47","45946"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All pupils"," ","Girls","FSM eligible","63","43796"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","Ethnicity: major group","All","All other pupils","70","62047"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","Ethnicity: major group","Boys","All other pupils","64","31831"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","Ethnicity: major group","Girls","All other pupils","78","30216"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","Ethnicity: major group","All","All pupils","69","69185"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","Ethnicity: major group","Boys","All pupils","62","35537"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","Ethnicity: major group","Girls","All pupils","77","33648"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","Ethnicity: major group","All","FSM eligible","61","7138"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","Ethnicity: major group","Boys","FSM eligible","53","3706"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","Ethnicity: major group","Girls","FSM eligible","70","3432"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","Ethnicity: major group","All","All other pupils","69","24128"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","Ethnicity: major group","Boys","All other pupils","61","12388"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","Ethnicity: major group","Girls","All other pupils","78","11740"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","Ethnicity: major group","All","All pupils","68","31136"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","Ethnicity: major group","Boys","All pupils","60","15936"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","Ethnicity: major group","Girls","All pupils","76","15200"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","Ethnicity: major group","All","FSM eligible","63","7008"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","Ethnicity: major group","Boys","FSM eligible","55","3548"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","Ethnicity: major group","Girls","FSM eligible","71","3460"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","Ethnicity: major group","All","All other pupils","77","2789"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","Ethnicity: major group","Boys","All other pupils","73","1471"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","Ethnicity: major group","Girls","All other pupils","82","1318"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","Ethnicity: major group","All","All pupils","76","3002"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","Ethnicity: major group","Boys","All pupils","72","1589"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","Ethnicity: major group","Girls","All pupils","81","1413"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","Ethnicity: major group","All","FSM eligible","67","213"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","Ethnicity: major group","Boys","FSM eligible","67","118"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","Ethnicity: major group","Girls","FSM eligible","66","95"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","Ethnicity: major group","All","All other pupils","75","33481"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","Ethnicity: major group","Boys","All other pupils","69","17149"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","Ethnicity: major group","Girls","All other pupils","82","16332"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","Ethnicity: major group","All","All pupils","72","41685"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","Ethnicity: major group","Boys","All pupils","66","21350"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","Ethnicity: major group","Girls","All pupils","79","20335"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","Ethnicity: major group","All","FSM eligible","60","8204"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","Ethnicity: major group","Boys","FSM eligible","52","4201"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","Ethnicity: major group","Girls","FSM eligible","68","4003"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Other","Ethnicity: major group","All","All other pupils","65","9646"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Other","Ethnicity: major group","Boys","All other pupils","58","4939"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Other","Ethnicity: major group","Girls","All other pupils","72","4707"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Other","Ethnicity: major group","All","All pupils","63","12048"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Other","Ethnicity: major group","Boys","All pupils","56","6159"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Other","Ethnicity: major group","Girls","All pupils","70","5889"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Other","Ethnicity: major group","All","FSM eligible","56","2402"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Other","Ethnicity: major group","Boys","FSM eligible","49","1220"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Other","Ethnicity: major group","Girls","FSM eligible","63","1182"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","Ethnicity: major group","All","All other pupils","75","396077"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","Ethnicity: major group","Boys","All other pupils","68","202918"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","Ethnicity: major group","Girls","All other pupils","81","193159"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","Ethnicity: major group","All","All pupils","72","459403"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","Ethnicity: major group","Boys","All pupils","65","235340"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","Ethnicity: major group","Girls","All pupils","79","224063"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","Ethnicity: major group","All","FSM eligible","53","63326"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","Ethnicity: major group","Boys","FSM eligible","45","32422"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","Ethnicity: major group","Girls","FSM eligible","61","30904"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other Asian background","Ethnicity: minor group","All","All other pupils","70","10210"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other Asian background","Ethnicity: minor group","Boys","All other pupils","63","5236"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other Asian background","Ethnicity: minor group","Girls","All other pupils","78","4974"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other Asian background","Ethnicity: minor group","All","All pupils","69","11469"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other Asian background","Ethnicity: minor group","Boys","All pupils","61","5900"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other Asian background","Ethnicity: minor group","Girls","All pupils","77","5569"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other Asian background","Ethnicity: minor group","All","FSM eligible","58","1259"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other Asian background","Ethnicity: minor group","Boys","FSM eligible","50","664"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other Asian background","Ethnicity: minor group","Girls","FSM eligible","67","595"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other black background","Ethnicity: minor group","All","All other pupils","67","3382"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other black background","Ethnicity: minor group","Boys","All other pupils","59","1734"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other black background","Ethnicity: minor group","Girls","All other pupils","76","1648"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other black background","Ethnicity: minor group","All","All pupils","66","4434"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other black background","Ethnicity: minor group","Boys","All pupils","58","2262"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other black background","Ethnicity: minor group","Girls","All pupils","74","2172"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other black background","Ethnicity: minor group","All","FSM eligible","61","1052"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other black background","Ethnicity: minor group","Boys","FSM eligible","54","528"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other black background","Ethnicity: minor group","Girls","FSM eligible","68","524"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other ethnic group","Ethnicity: minor group","All","All other pupils","65","9646"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other ethnic group","Ethnicity: minor group","Boys","All other pupils","58","4939"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other ethnic group","Ethnicity: minor group","Girls","All other pupils","72","4707"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other ethnic group","Ethnicity: minor group","All","All pupils","63","12048"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other ethnic group","Ethnicity: minor group","Boys","All pupils","56","6159"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other ethnic group","Ethnicity: minor group","Girls","All pupils","70","5889"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other ethnic group","Ethnicity: minor group","All","FSM eligible","56","2402"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other ethnic group","Ethnicity: minor group","Boys","FSM eligible","49","1220"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other ethnic group","Ethnicity: minor group","Girls","FSM eligible","63","1182"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other mixed background","Ethnicity: minor group","All","All other pupils","75","13072"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other mixed background","Ethnicity: minor group","Boys","All other pupils","69","6765"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other mixed background","Ethnicity: minor group","Girls","All other pupils","82","6307"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other mixed background","Ethnicity: minor group","All","All pupils","73","15789"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other mixed background","Ethnicity: minor group","Boys","All pupils","66","8186"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other mixed background","Ethnicity: minor group","Girls","All pupils","79","7603"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other mixed background","Ethnicity: minor group","All","FSM eligible","60","2717"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other mixed background","Ethnicity: minor group","Boys","FSM eligible","53","1421"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other mixed background","Ethnicity: minor group","Girls","FSM eligible","69","1296"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other white background","Ethnicity: minor group","All","All other pupils","66","42489"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other white background","Ethnicity: minor group","Boys","All other pupils","60","21798"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other white background","Ethnicity: minor group","Girls","All other pupils","73","20691"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other white background","Ethnicity: minor group","All","All pupils","66","45361"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other white background","Ethnicity: minor group","Boys","All pupils","59","23296"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other white background","Ethnicity: minor group","Girls","All pupils","73","22065"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other white background","Ethnicity: minor group","All","FSM eligible","55","2872"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other white background","Ethnicity: minor group","Boys","FSM eligible","47","1498"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Any other white background","Ethnicity: minor group","Girls","FSM eligible","63","1374"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Bangladeshi","Ethnicity: minor group","All","All other pupils","68","8564"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Bangladeshi","Ethnicity: minor group","Boys","All other pupils","61","4372"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Bangladeshi","Ethnicity: minor group","Girls","All other pupils","76","4192"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Bangladeshi","Ethnicity: minor group","All","All pupils","67","10212"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Bangladeshi","Ethnicity: minor group","Boys","All pupils","60","5219"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Bangladeshi","Ethnicity: minor group","Girls","All pupils","75","4993"
