"SEN","Ethnicity","%","Pupils"
"Any SEN","All","16.8","82,093"
"Any SEN","Asian","17.3","6,189"
"Any SEN","Black","12.6","4,532"
"Any SEN","Chinese","38.3","120"
"Any SEN","Mixed","16.8","4,292"
"Any SEN","White","17.0","64,654"
"Any SEN","Other","17.7","1,175"
"Any SEN","Unknown","15.8","1,131"
"No identified SEN","All","55.8","477,952"
"No identified SEN","Asian","62.9","54,832"
"No identified SEN","Black","51.3","28,402"
"No identified SEN","Chinese","82.3","1,839"
"No identified SEN","Mixed","55.9","25,185"
"No identified SEN","White","55.0","351,792"
"No identified SEN","Other","54.6","9,345"
"No identified SEN","Unknown","50.3","6,557"
"SEN support","All","20.5","60,251"
"SEN support","Asian","21.1","4,432"
"SEN support","Black","16.0","3,222"
"SEN support","Chinese","44.9","78"
"SEN support","Mixed","20.5","3,153"
"SEN support","White","20.7","47,662"
"SEN support","Other","20.9","885"
"SEN support","Unknown","19.0","819"
"SEN with a statement or EHC plan","All","6.5","21,842"
"SEN with a statement or EHC plan","Asian","7.5","1,757"
"SEN with a statement or EHC plan","Black","4.4","1,310"
"SEN with a statement or EHC plan","Chinese","26.2","42"
"SEN with a statement or EHC plan","Mixed","6.6","1,139"
"SEN with a statement or EHC plan","White","6.5","16,992"
"SEN with a statement or EHC plan","Other","7.9","290"
"SEN with a statement or EHC plan","Unknown","7.4","312"
