"","16-24","","25-49","","50-64","","All",""
"Ethnicity","%","Number of people employed","%","Number of people employed","%","Number of people employed","%","Number of people employed"
"All","54","3,656,100","84","17,725,400","72","8,735,200","75","30,116,600"
"Asian","37","231,700","75","1,502,900","66","350,000","66","2,084,600"
"Indian","43","67,200","84","621,800","73","167,100","76","856,200"
"Pakistani, Bangladeshi","37","116,600","66","517,000","53","82,000","57","715,600"
"Asian other","29","47,900","75","364,000","67","100,900","64","512,900"
"Black","33","96,200","76","584,300","75","260,400","67","940,900"
"Mixed","46","84,600","80","231,500","70","49,600","67","365,800"
"White","58","3,195,100","86","15,044,100","72","7,973,100","77","26,212,300"
"White British","58","2,998,500","86","13,143,900","72","7,590,800","76","23,733,100"
"White other","53","196,600","87","1,900,300","79","382,300","82","2,479,200"
"Other","31","46,100","68","349,600","64","92,600","61","488,300"
