"Measure","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","61","83,572"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","62","83,572"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","15","83,572"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","~","83,572"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","3","83,572"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","1","83,572"
"Child Benefit by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","23","83,572"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","14","83,572"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","16","83,572"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","7","83,572"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","6","83,572"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","1","83,572"
"Housing Benefit by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","13","83,572"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","3","83,572"
"Income Support by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","4","83,572"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","1","83,572"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","4","83,572"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","21","83,572"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","57","83,572"
"Pension Credit by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","5","83,572"
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","0","83,572"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","0","83,572"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","~","83,572"
"State Pension by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","25","83,572"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","~","83,572"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","All","ONS 5+2","K02000001","6","83,572"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","48","534"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","48","534"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","20","534"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","0","534"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","1","534"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","1","534"
"Child Benefit by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","28","534"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","19","534"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","17","534"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","2","534"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","2","534"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","~","534"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","15","534"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","2","534"
"Income Support by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","4","534"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","0","534"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","3","534"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","21","534"
