"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+5","K02000001","ONS geography code","All","All","All","All","61","83572"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+6","K02000001","ONS geography code","All","All","All","All","62","83572"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+7","K02000001","ONS geography code","All","All","All","All","15","83572"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+8","K02000001","ONS geography code","All","All","All","All","-","83572"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+9","K02000001","ONS geography code","All","All","All","All","3","83572"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+10","K02000001","ONS geography code","All","All","All","All","1","83572"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+11","K02000001","ONS geography code","All","All","All","All","23","83572"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+12","K02000001","ONS geography code","All","All","All","All","14","83572"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+13","K02000001","ONS geography code","All","All","All","All","16","83572"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+14","K02000001","ONS geography code","All","All","All","All","7","83572"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+15","K02000001","ONS geography code","All","All","All","All","6","83572"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+16","K02000001","ONS geography code","All","All","All","All","1","83572"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+17","K02000001","ONS geography code","All","All","All","All","13","83572"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+18","K02000001","ONS geography code","All","All","All","All","3","83572"
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+19","K02000001","ONS geography code","All","All","All","All","4","83572"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+20","K02000001","ONS geography code","All","All","All","All","1","83572"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+21","K02000001","ONS geography code","All","All","All","All","4","83572"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+22","K02000001","ONS geography code","All","All","All","All","21","83572"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+23","K02000001","ONS geography code","All","All","All","All","57","83572"
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+24","K02000001","ONS geography code","All","All","All","All","5","83572"
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+25","K02000001","ONS geography code","All","All","All","All","-","83572"
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+26","K02000001","ONS geography code","All","All","All","All","25","83572"
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+27","K02000001","ONS geography code","All","All","All","All","-","83572"
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","All","ONS 2011 5+28","K02000001","ONS geography code","All","All","All","All","6","83572"
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+29","K02000001","ONS geography code","All","All","All","All","48","534"
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+30","K02000001","ONS geography code","All","All","All","All","48","534"
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+31","K02000001","ONS geography code","All","All","All","All","20","534"
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+32","K02000001","ONS geography code","All","All","All","All","0","534"
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+33","K02000001","ONS geography code","All","All","All","All","1","534"
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+34","K02000001","ONS geography code","All","All","All","All","1","534"
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+35","K02000001","ONS geography code","All","All","All","All","28","534"
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+36","K02000001","ONS geography code","All","All","All","All","19","534"
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+37","K02000001","ONS geography code","All","All","All","All","17","534"
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+38","K02000001","ONS geography code","All","All","All","All","2","534"
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+39","K02000001","ONS geography code","All","All","All","All","2","534"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+40","K02000001","ONS geography code","All","All","All","All","-","534"
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+41","K02000001","ONS geography code","All","All","All","All","15","534"
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+42","K02000001","ONS geography code","All","All","All","All","2","534"
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+43","K02000001","ONS geography code","All","All","All","All","4","534"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+44","K02000001","ONS geography code","All","All","All","All","0","534"
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+45","K02000001","ONS geography code","All","All","All","All","3","534"
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+46","K02000001","ONS geography code","All","All","All","All","21","534"
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Asian other ","ONS 2011 5+47","K02000001","ONS geography code","All","All","All","All","41","534"
