"Measure","Ethnicity","%"
"Child Benefit","All","19"
"Child Benefit","Asian","27"
"Child Benefit","Bangladeshi","33"
"Child Benefit","Chinese","16"
"Child Benefit","Indian","21"
"Child Benefit","Pakistani","33"
"Child Benefit","Asian other","29"
"Child Benefit","Black","29"
"Child Benefit","Mixed","23"
"Child Benefit","White","18"
"Child Benefit","White British","17"
"Child Benefit","White other","22"
"Child Benefit","Other","23"
"State Pension","All","24"
"State Pension","Asian","9"
"State Pension","Bangladeshi","7"
"State Pension","Chinese","8"
"State Pension","Indian","12"
"State Pension","Pakistani","6"
"State Pension","Asian other","7"
"State Pension","Black","11"
"State Pension","Mixed","7"
"State Pension","White","27"
"State Pension","White British","28"
"State Pension","White other","8"
"State Pension","Other","7"
"Disability Living Allowance (care component)","All","8"
"Disability Living Allowance (care component)","Asian","5"
"Disability Living Allowance (care component)","Bangladeshi","8"
"Disability Living Allowance (care component)","Chinese","1"
"Disability Living Allowance (care component)","Indian","4"
"Disability Living Allowance (care component)","Pakistani","7"
"Disability Living Allowance (care component)","Asian other","2"
"Disability Living Allowance (care component)","Black","6"
"Disability Living Allowance (care component)","Mixed","6"
"Disability Living Allowance (care component)","White","8"
"Disability Living Allowance (care component)","White British","8"
"Disability Living Allowance (care component)","White other","3"
"Disability Living Allowance (care component)","Other","6"
"Disability Living Allowance (mobility component)","All","6"
"Disability Living Allowance (mobility component)","Asian","3"
"Disability Living Allowance (mobility component)","Bangladeshi","4"
"Disability Living Allowance (mobility component)","Chinese","!"
"Disability Living Allowance (mobility component)","Indian","2"
"Disability Living Allowance (mobility component)","Pakistani","5"
"Disability Living Allowance (mobility component)","Asian other","2"
"Disability Living Allowance (mobility component)","Black","4"
"Disability Living Allowance (mobility component)","Mixed","4"
"Disability Living Allowance (mobility component)","White","6"
"Disability Living Allowance (mobility component)","White British","7"
"Disability Living Allowance (mobility component)","White other","2"
"Disability Living Allowance (mobility component)","Other","5"
