"","Child Benefit","State Pension","Disability Living Allowance (care component)","Disability Living Allowance (mobility component)"
"Ethnicity","%","%","%","%"
"All","19","24","8","6"
"Asian","27","9","5","3"
"Bangladeshi","33","7","8","4"
"Chinese","16","8","1","!"
"Indian","21","12","4","2"
"Pakistani","33","6","7","5"
"Asian other","29","7","2","2"
"Black","29","11","6","4"
"Mixed","23","7","6","4"
"White","18","27","8","6"
"White British","17","28","8","7"
"White other","22","8","3","2"
"Other","23","7","6","5"
