"Benefit","Ethnicity","%"
"Child Benefit ","All","20"
"Child Benefit ","Asian","27"
"Child Benefit ","Bangladeshi","36"
"Child Benefit ","Chinese","17"
"Child Benefit ","Indian","24"
"Child Benefit ","Pakistani","33"
"Child Benefit ","Asian other","27"
"Child Benefit ","Black","30"
"Child Benefit ","Mixed","25"
"Child Benefit ","White British","18"
"Child Benefit ","White other","22"
"Child Benefit ","Other","24"
"Disability Living Allowance (care component) ","All","6"
"Disability Living Allowance (care component) ","Asian","4"
"Disability Living Allowance (care component) ","Bangladeshi","7"
"Disability Living Allowance (care component) ","Chinese","-"
"Disability Living Allowance (care component) ","Indian","4"
"Disability Living Allowance (care component) ","Pakistani","5"
"Disability Living Allowance (care component) ","Asian other","2"
"Disability Living Allowance (care component) ","Black","5"
"Disability Living Allowance (care component) ","Mixed","3"
"Disability Living Allowance (care component) ","White British","6"
"Disability Living Allowance (care component) ","White other","2"
"Disability Living Allowance (care component) ","Other","3"
"Disability Living Allowance (mobility component) ","All","5"
"Disability Living Allowance (mobility component) ","Asian","3"
"Disability Living Allowance (mobility component) ","Bangladeshi","4"
"Disability Living Allowance (mobility component) ","Chinese","-"
"Disability Living Allowance (mobility component) ","Indian","3"
"Disability Living Allowance (mobility component) ","Pakistani","4"
"Disability Living Allowance (mobility component) ","Asian other","1"
"Disability Living Allowance (mobility component) ","Black","4"
"Disability Living Allowance (mobility component) ","Mixed","3"
"Disability Living Allowance (mobility component) ","White British","6"
"Disability Living Allowance (mobility component) ","White other","2"
"Disability Living Allowance (mobility component) ","Other","1"
"State Pension ","All","25"
"State Pension ","Asian","9"
"State Pension ","Bangladeshi","9"
"State Pension ","Chinese","8"
"State Pension ","Indian","12"
"State Pension ","Pakistani","6"
"State Pension ","Asian other","9"
"State Pension ","Black","11"
"State Pension ","Mixed","8"
"State Pension ","White British","28"
"State Pension ","White other","9"
"State Pension ","Other","7"
