"Benefit","Ethnicity","%"
"Child Tax Credit  ","All","9"
"Child Tax Credit  ","Asian","15"
"Child Tax Credit  ","Bangladeshi","29"
"Child Tax Credit  ","Chinese","6"
"Child Tax Credit  ","Indian","8"
"Child Tax Credit  ","Pakistani","23"
"Child Tax Credit  ","Asian other","14"
"Child Tax Credit  ","Black","18"
"Child Tax Credit  ","Mixed","15"
"Child Tax Credit  ","White British","8"
"Child Tax Credit  ","White other","11"
"Child Tax Credit  ","Other","13"
"Working Tax Credit  ","All","5"
"Working Tax Credit  ","Asian","9"
"Working Tax Credit  ","Bangladeshi","15"
"Working Tax Credit  ","Chinese","4"
"Working Tax Credit  ","Indian","4"
"Working Tax Credit  ","Pakistani","14"
"Working Tax Credit  ","Asian other","8"
"Working Tax Credit  ","Black","8"
"Working Tax Credit  ","Mixed","8"
"Working Tax Credit  ","White British","4"
"Working Tax Credit  ","White other","7"
"Working Tax Credit  ","Other","7"
