"","2009/10-2011/12","2010/11-2012/13","2011/12-2013/14","2012/13-2014/15","2013/14-2015/16","2014/15-2016/17","2015/16-2017/18"
"Ethnicity","%","%","%","%","%","%","%"
"All","62","61","60","58","57","56","55"
"Asian","49","50","50","49","48","47","46"
"Bangladeshi","53","52","59","55","56","56","54"
"Chinese","29","29","31","30","30","32","33"
"Indian","48","48","48","47","46","45","43"
"Pakistani","56","59","57","57","53","53","52"
"Asian other","48","51","49","49","44","45","47"
"Black","58","60","59","58","54","55","53"
"Mixed","49","47","46","44","45","44","45"
"White","63","62","61","59","58","57","56"
"White British","64","63","62","60","59","58","57"
"White other","48","47","46","45","42","39","37"
"Other","55","53","52","49","49","44","42"
