"","Any state support","Any tax credits","Any income-related benefit","Any non-income-related benefit"
"Ethnicity","%","%","%","%"
"All","53","9","17","50"
"Asian","45","15","16","41"
"Bangladeshi","49","25","30","46"
"Chinese","31","6","11","26"
"Indian","41","7","8","38"
"Pakistani","51","23","20","46"
"Asian other","47","16","18","41"
"Black","53","16","28","45"
"Mixed","42","13","21","37"
"White","54","8","16","51"
"White British","56","8","17","53"
"White other","36","9","11","34"
"Other","40","13","18","36"
