"Time","Ethnicity","Average score"
"2017-18","All","76.7"
"2017-18","Asian",""
"2017-18","Bangladeshi","70.0"
"2017-18","Chinese","78.4"
"2017-18","Indian","75.4"
"2017-18","Pakistani","73.8"
"2017-18","Asian other","79.0"
"2017-18","Black",""
"2017-18","Black African","77.3"
"2017-18","Black Caribbean","74.0"
"2017-18","Black other","73.5"
"2017-18","Mixed",""
"2017-18","Mixed White/Asian","74.3"
"2017-18","Mixed White/Black African","74.2"
"2017-18","Mixed White/Black Caribbean","76.4"
"2017-18","Mixed other","79.8"
"2017-18","White",""
"2017-18","White British","77.4"
"2017-18","White Irish","80.7"
"2017-18","White Gypsy/Traveller","84.6"
"2017-18","White other","78.9"
"2017-18","Other",""
"2017-18","Arab","77.6"
"2017-18","Any other","82.8"
"2018-19","All","76.2"
"2018-19","Asian",""
"2018-19","Bangladeshi","77.8"
"2018-19","Chinese","76.6"
"2018-19","Indian","74.7"
"2018-19","Pakistani","72.0"
"2018-19","Asian other","77.1"
"2018-19","Black",""
"2018-19","Black African","78.8"
"2018-19","Black Caribbean","75.3"
"2018-19","Black other","80.4"
"2018-19","Mixed",""
"2018-19","Mixed White/Asian","74.2"
"2018-19","Mixed White/Black African","74.3"
"2018-19","Mixed White/Black Caribbean","73.8"
"2018-19","Mixed other","76.7"
"2018-19","White",""
"2018-19","White British","76.4"
"2018-19","White Irish","79.6"
"2018-19","White Gypsy/Traveller","75.8"
"2018-19","White other","76.3"
"2018-19","Other",""
"2018-19","Arab","76.9"
"2018-19","Any other","73.0"
