"","White British","","","Other than White British","",""
"Income band","%","Social housing households ('000s)","All households ('000s)","%","Social housing households ('000s)","All households ('000s)"
"Up to £99","52","93","179","54","22","40"
"£100 to £199","46","684","1,501","52","161","311"
"£200 to £299","32","647","2,008","36","153","430"
"£300 to £399","25","515","2,028","31","140","447"
"£400 to £499","18","316","1,767","24","88","362"
"£500 to £599","15","243","1,668","23","98","432"
"£600 to £699","12","195","1,576","18","66","373"
"£700 to £799","9","111","1,282","11","31","279"
"£800 to £899","6","67","1,148","13","37","281"
"£900 to £999","6","53","936","12","22","190"
"£1000 and above","3","119","4,636","5","57","1,117"
