"Ethnicity","%","Social housing households ('000s)","All households ('000s)"
"All","17","3,950","23,160"
"Asian","","",""
"Bangladeshi","33","51","152"
"Chinese","10","11","111"
"Indian","7","41","550"
"Pakistani","13","46","358"
"Asian other","23","44","190"
"Black","","",""
"Black African","44","188","431"
"Black Caribbean","40","123","308"
"Black other","27","9","32"
"Mixed","","",""
"Mixed White/Asian","10","5","52"
"Mixed White/Black African","41","35","85"
"Mixed White/Black Caribbean","32","30","93"
"Mixed other","24","17","73"
"White","","",""
"White British","16","3,068","18,863"
"White Irish","23","49","213"
"White Gypsy/Traveller","?","?","?"
"White other","11","150","1,307"
"Other","","",""
"Arab","32","27","83"
"Any other","22","55","250"
