"","White British","","","Other than White British","",""
"Region","%","Social housing households ('000s)","All households ('000s)","%","Social housing households ('000s)","All households ('000s)"
"East","16","342","2,186","14","52","367"
"East Midlands","15","251","1,688","17","50","289"
"London","18","303","1,660","27","473","1,778"
"North East","23","250","1,090","19","13","68"
"North West","17","479","2,757","21","80","384"
"South East","14","440","3,244","11","55","522"
"South West","13","298","2,269","12","21","175"
"West Midlands","18","360","1,978","19","77","415"
"Yorkshire and the Humber","17","345","1,992","20","60","299"
