"Ethnicity","Time","%"
"White","2002/04","11.5"
"White","2003/05","11.3"
"White","2004/06","10.8"
"White","2005/07","10.1"
"White","2006/08","10.6"
"White","2007/09","11.0"
"White","2008/10","11.1"
"White","2009/11","10.6"
"White","2010/12","10.4"
"White","2011/13","9.9"
"White","2012/14","9.6"
"White","2013/15","9.8"
"White","2014/16","10.4"
"White","2015/17","10.3"
"White","2016/18","9.7"
"White","2017/19","9.3"
"Other than White","2002/04","14.5"
"Other than White","2003/05","15.5"
"Other than White","2004/06","17.0"
"Other than White","2005/07","17.6"
"Other than White","2006/08","16.3"
"Other than White","2007/09","18.2"
"Other than White","2008/10","19.3"
"Other than White","2009/11","18.6"
"Other than White","2010/12","17.1"
"Other than White","2011/13","17.7"
"Other than White","2012/14","18.1"
"Other than White","2013/15","16.8"
"Other than White","2014/16","15.6"
"Other than White","2015/17","17.1"
"Other than White","2016/18","20.0"
"Other than White","2017/19","17.7"
