"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Value","Value_type","Number of households (000's)","Total number of households (000's)"
"Proportion of households in Fuel Poverty in England (%)","2002/04","Year","White","White & Other","11.5","%","2189","19098"
"Proportion of households in Fuel Poverty in England (%)","2002/04","Year","Other","White & Other","14.5","%","236","1626"
"Proportion of households in Fuel Poverty in England (%)","2002/04","Year","All","All","11.7","%","2425","20724"
"Proportion of households in Fuel Poverty in England (%)","2003/05","Year","White","White & Other","11.3","%","2177","19317"
"Proportion of households in Fuel Poverty in England (%)","2003/05","Year","Other","White & Other","15.5","%","251","1614"
"Proportion of households in Fuel Poverty in England (%)","2003/05","Year","All","All","11.6","%","2428","20931"
"Proportion of households in Fuel Poverty in England (%)","2004/06","Year","White","White & Other","10.8","%","2093","19380"
"Proportion of households in Fuel Poverty in England (%)","2004/06","Year","Other","White & Other","17","%","298","1754"
"Proportion of households in Fuel Poverty in England (%)","2004/06","Year","All","All","11.3","%","2392","21134"
"Proportion of households in Fuel Poverty in England (%)","2005/07","Year","White","White & Other","10.1","%","1948","19363"
"Proportion of households in Fuel Poverty in England (%)","2005/07","Year","Other","White & Other","17.6","%","326","1858"
"Proportion of households in Fuel Poverty in England (%)","2005/07","Year","All","All","10.7","%","2274","21221"
"Proportion of households in Fuel Poverty in England (%)","2006/08","Year","White","White & Other","10.6","%","2059","19469"
"Proportion of households in Fuel Poverty in England (%)","2006/08","Year","Other","White & Other","16.3","%","311","1909"
"Proportion of households in Fuel Poverty in England (%)","2006/08","Year","All","All","11.1","%","2371","21379"
"Proportion of households in Fuel Poverty in England (%)","2007/09","Year","White","White & Other","11","%","2144","19453"
"Proportion of households in Fuel Poverty in England (%)","2007/09","Year","Other","White & Other","18.2","%","355","1954"
"Proportion of households in Fuel Poverty in England (%)","2007/09","Year","All","All","11.7","%","2499","21407"
"Proportion of households in Fuel Poverty in England (%)","2008/10","Year","White","White & Other","11.1","%","2174","19530"
"Proportion of households in Fuel Poverty in England (%)","2008/10","Year","Other","White & Other","19.3","%","388","2005"
"Proportion of households in Fuel Poverty in England (%)","2008/10","Year","All","All","11.9","%","2562","21535"
"Proportion of households in Fuel Poverty in England (%)","2009/11","Year","White","White & Other","10.6","%","2072","19500"
"Proportion of households in Fuel Poverty in England (%)","2009/11","Year","Other","White & Other","18.6","%","390","2100"
"Proportion of households in Fuel Poverty in England (%)","2009/11","Year","All","All","11.4","%","2462","21600"
"Proportion of households in Fuel Poverty in England (%)","2010/12","Year","White","White & Other","10.4","%","2036","19650"
"Proportion of households in Fuel Poverty in England (%)","2010/12","Year","Other","White & Other","17.1","%","388","2269"
"Proportion of households in Fuel Poverty in England (%)","2010/12","Year","All","All","11.1","%","2424","21918"
"Proportion of households in Fuel Poverty in England (%)","2011/13","Year","White","White & Other","9.9","%","1930","19598"
"Proportion of households in Fuel Poverty in England (%)","2011/13","Year","Other","White & Other","17.7","%","414","2338"
"Proportion of households in Fuel Poverty in England (%)","2011/13","Year","All","All","10.7","%","2344","21935"
"Proportion of households in Fuel Poverty in England (%)","2012/14","Year","White","White & Other","9.6","%","1934","20191"
"Proportion of households in Fuel Poverty in England (%)","2012/14","Year","Other","White & Other","18.1","%","434","2392"
"Proportion of households in Fuel Poverty in England (%)","2012/14","Year","All","All","10.5","%","2368","22583"
"Proportion of households in Fuel Poverty in England (%)","2013/15","Year","White","White & Other","9.8","%","1972","20223"
"Proportion of households in Fuel Poverty in England (%)","2013/15","Year","Other","White & Other","16.8","%","390","2320"
"Proportion of households in Fuel Poverty in England (%)","2013/15","Year","All","All","10.5","%","2362","22542"
"Proportion of households in Fuel Poverty in England (%)","2014/16","Year","White","White & Other","10.4","%","2097","20186"
"Proportion of households in Fuel Poverty in England (%)","2014/16","Year","Other","White & Other","15.6","%","385","2471"
"Proportion of households in Fuel Poverty in England (%)","2014/16","Year","All","All","11","%","2482","22657"
"Proportion of households in Fuel Poverty in England (%)","2015/17","Year","White","White & Other","10.3","%","2099","20348"
"Proportion of households in Fuel Poverty in England (%)","2015/17","Year","Other","White & Other","17.1","%","452","2648"
"Proportion of households in Fuel Poverty in England (%)","2015/17","Year","All","All","11.1","%","2551","22996"
"Proportion of households in Fuel Poverty in England (%)","2016/18","Year","White","White & Other","9.7","%","1998","20525"
"Proportion of households in Fuel Poverty in England (%)","2016/18","Year","Other","White & Other","20","%","534","2672"
"Proportion of households in Fuel Poverty in England (%)","2016/18","Year","All","All","10.9","%","2532","23197"
"Proportion of households in Fuel Poverty in England (%)","2017/19","Year","White","White & Other","9.3","%","1932","20762"
"Proportion of households in Fuel Poverty in England (%)","2017/19","Year","Other","White & Other","17.7","%","468","2649"
"Proportion of households in Fuel Poverty in England (%)","2017/19","Year","All","All","10.3","%","2400","23411"
