"Tariff marker","Ethnicity","%","Number of entrants"
"High","Asian","9.9","25,905"
"High","Black","4.1","10,760"
"High","Mixed","4.1","10,700"
"High","White","80.5","210,370"
"High","Other","1.4","3,700"
"High","Unknown","N/A","6,420"
"Medium","Asian","11.7","28,425"
"Medium","Black","7.3","17,795"
"Medium","Mixed","3.4","8,295"
"Medium","White","75.9","183,870"
"Medium","Other","1.6","3,905"
"Medium","Unknown","N/A","4,440"
"Low","Asian","10.7","23,120"
"Low","Black","13.1","28,390"
"Low","Mixed","3.9","8,505"
"Low","White","70.4","152,525"
"Low","Other","1.9","4,145"
"Low","Unknown","N/A","3,960"
"Other","Asian","4.2","1,770"
"Other","Black","3.7","1,575"
"Other","Mixed","2.6","1,105"
"Other","White","88.6","37,200"
"Other","Other","0.8","320"
"Other","Unknown","N/A","910"
"All tarifffs","Asian","10.4","79,220"
"All tarifffs","Black","7.7","58,520"
"All tarifffs","Mixed","3.8","28,605"
"All tarifffs","White","76.6","583,965"
"All tarifffs","Other","1.6","12,070"
"All tarifffs","Unknown","N/A","15,735"
