"Table 3: Employment by occupation and ethnicity","","","","","","","","","","",""
"United Kingdom 2004 - 2018","","","","","","","","","","",""
"","","","","","","","","","","",""
"Measure","Time","Time_type","Ethnicity","Occupation","Occupation_Type","Value","Value_type","Denominator","Numerator","CI","Notes"
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","1 Managers and Senior Officials","SOC 2010","15","%","27507700","4101900","0.37",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","2 Professional occupations","SOC 2010","12","%","27507700","3419400","0.38",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","3 Associate Professional and Technical","SOC 2010","14","%","27507700","3847100","0.38",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","4 Administrative and Secretarial","SOC 2010","13","%","27507700","3486000","0.37",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","5 Skilled Trades Occupations","SOC 2010","11","%","27507700","3115200","0.37",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","6 Personal Service Occupations","SOC 2010","8","%","27507700","2114800","0.37",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","7 Sales and Customer Service Occupations","SOC 2010","8","%","27507700","2132300","0.38",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","8 Process, Plant and Machine Operatives","SOC 2010","8","%","27507700","2094000","0.37",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","All","9 Elementary Occupations","SOC 2010","12","%","27507700","3197000","0.37",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian","1 Managers and Senior Officials","SOC 2010","15","%","1102100","164500","3.63",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian","2 Professional occupations","SOC 2010","16","%","1102100","175100","3.61",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian","3 Associate Professional and Technical","SOC 2010","12","%","1102100","128300","3.7",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian","4 Administrative and Secretarial","SOC 2010","11","%","1102100","125100","3.88",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian","5 Skilled Trades Occupations","SOC 2010","7","%","1102100","75800","3.79",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian","6 Personal Service Occupations","SOC 2010","5","%","1102100","54000","3.76",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian","7 Sales and Customer Service Occupations","SOC 2010","12","%","1102100","134800","3.89",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian","8 Process, Plant and Machine Operatives","SOC 2010","10","%","1102100","109200","3.63",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Asian","9 Elementary Occupations","SOC 2010","12","%","1102100","135400","3.72",""
"Proportion of ethnic group who are employed, split by occupation group","2004","Year","Black","1 Managers and Senior Officials","SOC 2010","9","%","493400","42400","6.15",""
