"Ethnicity","Socio-economic group","%","Sample size"
"Asian","Managerial and professional occupations","19","1,748"
"Asian","Intermediate occupations","17","1,079"
"Asian","Routine and manual occupations","15","1,461"
"Asian","Never worked and long-term unemployed","15","620"
"Asian","Full time students","14","433"
"Asian","Not classified","7","54"
"Black","Managerial and professional occupations","20","829"
"Black","Intermediate occupations","17","488"
"Black","Routine and manual occupations","18","1,041"
"Black","Never worked and long-term unemployed","11","216"
"Black","Full time students","20","221"
"Black","Not classified","?","35"
"Mixed","Managerial and professional occupations","28","368"
"Mixed","Intermediate occupations","20","212"
"Mixed","Routine and manual occupations","22","300"
"Mixed","Never worked and long-term unemployed","18","53"
"Mixed","Full time students","21","104"
"Mixed","Not classified","?","6"
"White","Managerial and professional occupations","15","32,782"
"White","Intermediate occupations","14","22,252"
"White","Routine and manual occupations","14","32,947"
"White","Never worked and long-term unemployed","17","2,864"
"White","Full time students","21","2,380"
"White","Not classified","11","627"
"Other","Managerial and professional occupations","18","221"
"Other","Intermediate occupations","16","149"
"Other","Routine and manual occupations","16","222"
"Other","Never worked and long-term unemployed","18","108"
"Other","Full time students","8","118"
"Other","Not classified","?","7"
