"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Value","Value_type","Numerator","Numerator type","Denominator","Denominator type"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2011","Calendar Year","East","Government Region","3.1","Percentage of Numerator / Denominator","11070","Average number of JSA claimants a month matching date, geographic and ethnicity status","353951","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","East","Government Region","2.8","Percentage of Numerator / Denominator","94055","Average number of JSA claimants a month matching date, geographic and ethnicity status","3365124","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2011","Calendar Year","East Midlands","Government Region","4.3","Percentage of Numerator / Denominator","14015","Average number of JSA claimants a month matching date, geographic and ethnicity status","327001","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","East Midlands","Government Region","3.2","Percentage of Numerator / Denominator","84085","Average number of JSA claimants a month matching date, geographic and ethnicity status","2592157","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2011","Calendar Year","All","England and Wales","4.5","Percentage of Numerator / Denominator","236620","Average number of JSA claimants a month matching date, geographic and ethnicity status","5225508","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","All","England and Wales","3.3","Percentage of Numerator / Denominator","1014010","Average number of JSA claimants a month matching date, geographic and ethnicity status","31063388","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2011","Calendar Year","London","Government Region","5","Percentage of Numerator / Denominator","111480","Average number of JSA claimants a month matching date, geographic and ethnicity status","2223572","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","London","Government Region","2.8","Percentage of Numerator / Denominator","94700","Average number of JSA claimants a month matching date, geographic and ethnicity status","3440844","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2011","Calendar Year","North East","Government Region","3.4","Percentage of Numerator / Denominator","2815","Average number of JSA claimants a month matching date, geographic and ethnicity status","82944","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","North East","Government Region","4.9","Percentage of Numerator / Denominator","78330","Average number of JSA claimants a month matching date, geographic and ethnicity status","1598730","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2011","Calendar Year","North West","Government Region","4.2","Percentage of Numerator / Denominator","19000","Average number of JSA claimants a month matching date, geographic and ethnicity status","447494","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","White","ONS 2","2011","Calendar Year","North West","Government Region","3.9","Percentage of Numerator / Denominator","161810","Average number of JSA claimants a month matching date, geographic and ethnicity status","4105271","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","Ethnic Minority","ONS 2","2011","Calendar Year","South East","Government Region","2.4","Percentage of Numerator / Denominator","13135","Average number of JSA claimants a month matching date, geographic and ethnicity status","538374","Number of people in the population aged 16-24 matching geographic and ethnicity status"
