"Region","Ethnicity","%"
"All","White","1.0"
"All","Other than White","1.6"
"East","White","0.7"
"East","Other than White","1.0"
"East Midlands","White","0.9"
"East Midlands","Other than White","1.3"
"London","White","0.8"
"London","Other than White","1.5"
"North East","White","1.9"
"North East","Other than White","2.0"
"North West","White","0.9"
"North West","Other than White","1.8"
"South East","White","0.7"
"South East","Other than White","0.8"
"South West","White","0.7"
"South West","Other than White","1.1"
"Wales","White","1.2"
"Wales","Other than White","1.8"
"West Midlands","White","1.2"
"West Midlands","Other than White","2.6"
"Yorkshire and The Humber","White","1.3"
"Yorkshire and The Humber","Other than White","2.1"
