"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","FSM","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2018-2019","Academic Year","England","Country","E92000001","All","6-7","All","82","%","666394","548271"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2018-2019","Academic Year","England","Country","E92000001","All","6-7","FSM","69","%","107159","74053"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2018-2019","Academic Year","England","Country","E92000001","All","6-7","Non-FSM","85","%","559235","474218"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys","6-7","All","80","%","341213","271944"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys","6-7","FSM","65","%","55056","35990"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys","6-7","Non-FSM","82","%","286157","235954"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls","6-7","All","85","%","325181","276327"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls","6-7","FSM","73","%","52103","38063"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls","6-7","Non-FSM","87","%","273078","238264"
"Percentage of pupils reaching the expected standard in key stage 1 science","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All","6-7","All","81","%","73121","59590"
"Percentage of pupils reaching the expected standard in key stage 1 science","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All","6-7","FSM","74","%","9320","6909"
"Percentage of pupils reaching the expected standard in key stage 1 science","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All","6-7","Non-FSM","83","%","63801","52681"
"Percentage of pupils reaching the expected standard in key stage 1 science","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys","6-7","All","78","%","37378","29183"
"Percentage of pupils reaching the expected standard in key stage 1 science","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys","6-7","FSM","70","%","4792","3374"
"Percentage of pupils reaching the expected standard in key stage 1 science","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys","6-7","Non-FSM","79","%","32586","25809"
"Percentage of pupils reaching the expected standard in key stage 1 science","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls","6-7","All","85","%","35743","30407"
"Percentage of pupils reaching the expected standard in key stage 1 science","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls","6-7","FSM","78","%","4528","3535"
"Percentage of pupils reaching the expected standard in key stage 1 science","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls","6-7","Non-FSM","86","%","31215","26872"
"Percentage of pupils reaching the expected standard in key stage 1 science","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All","6-7","All","82","%","11959","9850"
"Percentage of pupils reaching the expected standard in key stage 1 science","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All","6-7","FSM","72","%","1591","1149"
