"FSM","Ethnicity","%"
"FSM","All","69"
"FSM","Asian","74"
"FSM","Bangladeshi","76"
"FSM","Indian","79"
"FSM","Pakistani","73"
"FSM","Asian other","72"
"FSM","Black","76"
"FSM","Black African","78"
"FSM","Black Caribbean","71"
"FSM","Black other","74"
"FSM","Chinese","86"
"FSM","Mixed","73"
"FSM","Mixed White/Asian","75"
"FSM","Mixed White/Black African","77"
"FSM","Mixed White/Black Caribbean","72"
"FSM","Mixed other","73"
"FSM","White","67"
"FSM","White British","68"
"FSM","White Irish","63"
"FSM","Gypsy/Roma","41"
"FSM","Irish Traveller","41"
"FSM","White other","68"
"FSM","Other","68"
"FSM","Unknown","65"
"Non-FSM","All","85"
"Non-FSM","Asian","83"
"Non-FSM","Bangladeshi","81"
"Non-FSM","Indian","88"
"Non-FSM","Pakistani","78"
"Non-FSM","Asian other","84"
"Non-FSM","Black","82"
"Non-FSM","Black African","82"
"Non-FSM","Black Caribbean","80"
"Non-FSM","Black other","81"
"Non-FSM","Chinese","89"
"Non-FSM","Mixed","86"
"Non-FSM","Mixed White/Asian","89"
"Non-FSM","Mixed White/Black African","85"
"Non-FSM","Mixed White/Black Caribbean","84"
"Non-FSM","Mixed other","86"
"Non-FSM","White","86"
"Non-FSM","White British","87"
"Non-FSM","White Irish","91"
"Non-FSM","Gypsy/Roma","44"
"Non-FSM","Irish Traveller","51"
"Non-FSM","White other","80"
"Non-FSM","Other","77"
"Non-FSM","Unknown","63"
