"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other","","Unknown",""
"Region","Average (mean) annual pay","Average pay for every £1 paid to White staff","Average (mean) annual pay","Average pay for every £1 paid to White staff","Average (mean) annual pay","Average pay for every £1 paid to White staff","Average (mean) annual pay","Average pay for every £1 paid to White staff","Average (mean) annual pay","Average pay for every £1 paid to White staff","Average (mean) annual pay","Average pay for every £1 paid to White staff","Average (mean) annual pay","Average pay for every £1 paid to White staff","Average (mean) annual pay","Average pay for every £1 paid to White staff"
"All","27,100","N/A","27,200","£1","28,400","£1.04","29,500","£1.04","29,600","£1.09","27,200","N/A","30,000","£1.10","26,500","97p"
"North East","24,100","N/A","20,700","85p","20,200","83p","20,000","82p","24,300","£1","24,300","N/A","23,600","97p","20,700","85p"
"North West","25,200","N/A","20,600","80p","22,700","88p","23,800","93p","24,300","95p","25,700","N/A","25,700","£1","23,400","91p"
"Yorkshire and The Humber","25,700","N/A","24,300","92p","24,300","92p","22,300","84p","25,700","97p","26,500","N/A","25,900","98p","24,300","92p"
"East Midlands","25,400","N/A","22,200","86p","22,100","86p","25,700","£1","25,700","£1","25,700","N/A","25,700","£1","23,600","92p"
"West Midlands","25,700","N/A","24,200","93p","24,800","95p","25,400","97p","24,700","95p","26,100","N/A","25,200","97p","24,300","93p"
"East","27,000","N/A","24,700","91p","27,100","£1","27,100","£1","27,200","£1","27,100","N/A","27,400","£1.01","26,500","98p"
"London","34,500","N/A","30,300","77p","29,400","74p","34,400","87p","34,100","86p","39,500","N/A","32,200","82p","33,500","85p"
"South East","27,200","N/A","25,700","94p","26,800","99p","27,300","£1","27,200","£1","27,200","N/A","27,000","99p","27,100","£1"
"South West","29,600","N/A","30,000","£1","28,500","95p","30,100","£1","27,800","92p","30,100","N/A","30,300","£1.01","27,100","90p"
"Wales","25,500","N/A","24,300","95p","24,300","95p","25,600","£1","24,800","96p","25,700","N/A","25,700","£1","24,300","95p"
"Scotland","25,700","N/A","24,300","93p","24,600","94p","22,300","85p","26,500","£1.01","26,200","N/A","28,700","£1.10","24,300","93p"
"Northern Ireland","24,300","N/A","20,700","85p","!","!","!","!","24,300","£1","24,300","N/A","24,300","£1","23,400","96p"
"Unknown","32,000","N/A","25,700","81p","25,700","81p","!","!","32,400","£1.02","31,700","N/A","!","!","32,800","£1.03"
