"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Geography_name","Gender","Gender_type","Value","Denominator","Value Note","Geography name"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E09000002","ONS geography code","Barking and Dagenham","Girls","Boys/Girls/All","78","1664","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E09000002","ONS geography code","Barking and Dagenham","Boys","Boys/Girls/All","62","1768","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E09000002","ONS geography code","Barking and Dagenham","All","Boys/Girls/All","70","3432","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E09000002","ONS geography code","Barking and Dagenham","Girls","Boys/Girls/All","77","426","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E09000002","ONS geography code","Barking and Dagenham","Boys","Boys/Girls/All","65","540","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E09000002","ONS geography code","Barking and Dagenham","All","Boys/Girls/All","70","966","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E09000002","ONS geography code","Barking and Dagenham","Girls","Boys/Girls/All","80","392","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E09000002","ONS geography code","Barking and Dagenham","Boys","Boys/Girls/All","66","394","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Black","White/Black/Asian/Mixed/Chinese/All","E09000002","ONS geography code","Barking and Dagenham","All","Boys/Girls/All","73","786","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E09000002","ONS geography code","Barking and Dagenham","Girls","Boys/Girls/All","100","5","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E09000002","ONS geography code","Barking and Dagenham","Boys","Boys/Girls/All","50","10","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E09000002","ONS geography code","Barking and Dagenham","All","Boys/Girls/All","67","15","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E09000002","ONS geography code","Barking and Dagenham","Girls","Boys/Girls/All","81","154","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E09000002","ONS geography code","Barking and Dagenham","Boys","Boys/Girls/All","60","159","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E09000002","ONS geography code","Barking and Dagenham","All","Boys/Girls/All","70","313","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000002","ONS geography code","Barking and Dagenham","Boys","Boys/Girls/All","60","590","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000002","ONS geography code","Barking and Dagenham","Girls","Boys/Girls/All","78","606","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000002","ONS geography code","Barking and Dagenham","All","Boys/Girls/All","69","1196","","Local Authority"
"Percentage achieving at least the expected standard in all ELGs","2019","Year","All","White/Black/Asian/Mixed/Chinese/All","E09000003","ONS geography code","Barnet","Girls","Boys/Girls/All","80","2071","","Local Authority"
