"Outcome","Ethnicity","Men (%)","Women (%)"
"Reliably improved","Asian","61.5","63.4"
"Reliably improved","Bangladeshi","62.8","61.0"
"Reliably improved","Indian","64.5","65.7"
"Reliably improved","Pakistani","60.6","61.7"
"Reliably improved","Asian other","57.2","62.3"
"Reliably improved","Black","63.6","64.1"
"Reliably improved","Black African","62.7","63.2"
"Reliably improved","Black Caribbean","64.5","64.5"
"Reliably improved","Black other","63.4","64.5"
"Reliably improved","Mixed","61.8","63.9"
"Reliably improved","Mixed White/Asian","61.4","63.3"
"Reliably improved","Mixed White/Black African","61.3","65.2"
"Reliably improved","Mixed White/Black Caribbean","61.6","64.6"
"Reliably improved","Mixed other","62.1","63.1"
"Reliably improved","White","66.5","67.6"
"Reliably improved","White British","66.6","67.7"
"Reliably improved","White Irish","65.7","66.0"
"Reliably improved","White other","64.4","66.0"
"Reliably improved","Other inc Chinese","59.9","62.6"
"Reliably improved","Chinese","67.6","64.6"
"Reliably improved","Any other","58.7","62.2"
"No reliable change","Asian","29.3","28.0"
"No reliable change","Bangladeshi","28.1","28.0"
"No reliable change","Indian","28.1","26.7"
"No reliable change","Pakistani","29.0","29.1"
"No reliable change","Asian other","32.1","28.9"
"No reliable change","Black","28.0","27.0"
"No reliable change","Black African","28.9","27.5"
"No reliable change","Black Caribbean","27.0","26.9"
"No reliable change","Black other","28.6","26.5"
"No reliable change","Mixed","29.8","27.6"
"No reliable change","Mixed White/Asian","30.4","28.1"
"No reliable change","Mixed White/Black African","29.3","25.8"
"No reliable change","Mixed White/Black Caribbean","29.6","27.2"
"No reliable change","Mixed other","29.7","28.3"
"No reliable change","White","27.0","25.8"
"No reliable change","White British","26.9","25.8"
"No reliable change","White Irish","27.0","26.4"
"No reliable change","White other","28.2","26.5"
"No reliable change","Other inc Chinese","29.2","28.6"
"No reliable change","Chinese","24.5","28.8"
"No reliable change","Any other","29.9","28.5"
"Reliably deteriorated","Asian","7.6","7.5"
"Reliably deteriorated","Bangladeshi","7.1","9.4"
"Reliably deteriorated","Indian","5.9","6.6"
"Reliably deteriorated","Pakistani","8.7","8.1"
"Reliably deteriorated","Asian other","9.1","7.5"
"Reliably deteriorated","Black","6.5","7.7"
"Reliably deteriorated","Black African","6.3","7.9"
"Reliably deteriorated","Black Caribbean","6.9","7.5"
"Reliably deteriorated","Black other","6.0","7.6"
"Reliably deteriorated","Mixed","6.9","7.3"
"Reliably deteriorated","Mixed White/Asian","7.2","7.2"
"Reliably deteriorated","Mixed White/Black African","7.9","8.0"
"Reliably deteriorated","Mixed White/Black Caribbean","7.1","7.4"
"Reliably deteriorated","Mixed other","6.3","7.2"
"Reliably deteriorated","White","5.6","5.8"
"Reliably deteriorated","White British","5.6","5.7"
"Reliably deteriorated","White Irish","6.1","6.7"
"Reliably deteriorated","White other","6.1","6.4"
"Reliably deteriorated","Other inc Chinese","8.9","7.6"
"Reliably deteriorated","Chinese","6.7","5.6"
"Reliably deteriorated","Any other","9.3","8.0"
