"","Boys: no free school meals","","Girls: no free school meals","","Boys: free school meals","","Girls: free school meals",""
"Ethnicity","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils"
"All","-0.18","219,577","0.29","211,850","-0.78","32,116","-0.28","31,292"
"Asian","0.29","21,618","0.74","20,732","-0.11","4,072","0.41","4,038"
"Bangladeshi","0.27","3,244","0.74","3,330","0.02","1,058","0.48","1,127"
"Indian","0.55","6,099","0.96","5,798","0.07","442","0.58","478"
"Pakistani","0.04","8,728","0.53","8,462","-0.26","2,132","0.30","2,040"
"Asian other","0.52","3,547","0.88","3,142","0.08","440","0.56","393"
"Black","-0.08","9,849","0.44","10,084","-0.41","2,550","0.21","2,700"
"Black African","0.10","6,153","0.61","6,213","-0.16","1,523","0.44","1,625"
"Black Caribbean","-0.50","2,500","0.03","2,671","-0.91","706","-0.24","762"
"Black other","-0.10","1,196","0.41","1,200","-0.52","321","0.12","313"
"Chinese","0.87","694","1.19","745","0.76","38","1.06","59"
"Mixed","-0.14","9,432","0.31","9,301","-0.72","2,103","-0.22","2,080"
"Mixed White/Asian","0.15","2,253","0.45","2,231","-0.58","331","-0.08","334"
"Mixed White/Black African","-0.23","1,068","0.39","1,071","-0.44","274","-0.04","256"
"Mixed White/Black Caribbean","-0.52","2,670","-0.02","2,675","-0.97","796","-0.46","794"
"Mixed other","-0.01","3,441","0.46","3,324","-0.61","702","-0.07","696"
"White","-0.25","172,701","0.22","166,002","-0.98","22,106","-0.51","21,125"
"White British","-0.28","163,292","0.18","156,730","-1.02","20,900","-0.55","19,929"
"White Irish","0.07","667","0.36","659","-1.15","84","-0.25","88"
"Gypsy/Roma","-0.88","188","-0.41","260","-1.31","146","-0.79","143"
"Irish Traveller","-1.09","21","-0.63","20","-1.72","28","-1.05","31"
"White other","0.31","8,533","0.80","8,333","-0.19","948","0.32","934"
"Other","0.37","2,532","0.87","2,479","0.12","778","0.57","800"
"Unknown","-0.55","2,751","-0.12","2,507","-0.92","469","-0.55","490"
