"","Free school meals","","No free school meals",""
"Ethnicity","Score","Pupils","Score","Pupils"
"All","-0.53","63,408","0.05","431,427"
"Asian","0.15","8,110","0.51","42,350"
"Bangladeshi","0.26","2,185","0.51","6,574"
"Indian","0.33","920","0.75","11,897"
"Pakistani","0.02","4,172","0.28","17,190"
"Asian other","0.31","833","0.69","6,689"
"Black","-0.09","5,250","0.18","19,933"
"Black African","0.15","3,148","0.35","12,366"
"Black Caribbean","-0.56","1,468","-0.22","5,171"
"Black other","-0.20","634","0.16","2,396"
"Chinese","0.94","97","1.03","1,439"
"Mixed","-0.47","4,183","0.08","18,733"
"Mixed White/Asian","-0.33","665","0.30","4,484"
"Mixed White/Black African","-0.25","530","0.08","2,139"
"Mixed White/Black Caribbean","-0.72","1,590","-0.27","5,345"
"Mixed other","-0.34","1,398","0.22","6,765"
"White","-0.75","43,231","-0.02","338,703"
"White British","-0.79","40,829","-0.05","320,022"
"White Irish","-0.69","172","0.21","1,326"
"Gypsy/Roma","-1.05","289","-0.61","448"
"Irish Traveller","-1.37","59","-0.87","41"
"White other","0.07","1,882","0.56","16,866"
"Other","0.35","1,578","0.62","5,011"
"Unknown","-0.73","959","-0.34","5,258"
