"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Gender_type","Destination","Value","Value_type","Denominator","Numerator"
"Pupil destination after key stage 4 study (Percentage %)","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","89","% of cohort","568410","506631"
"Pupil destination after key stage 4 study (Percentage %)","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Education","82","% of cohort","568410","468318"
"Pupil destination after key stage 4 study (Percentage %)","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Apprenticeships","4","% of cohort","568410","23427"
"Pupil destination after key stage 4 study (Percentage %)","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Employment","3","% of cohort","568410","14886"
"Pupil destination after key stage 4 study (Percentage %)","All","All","2010/11","Academic year","England","Country","E92000001","All","All","No sustained education/employment","9","% of cohort","568410","49933"
"Pupil destination after key stage 4 study (Percentage %)","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Unknown","2","% of cohort","568410","11846"
"Pupil destination after key stage 4 study (Percentage %)","Any other White background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","90","% of cohort","11601","10455"
"Pupil destination after key stage 4 study (Percentage %)","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","67","% of cohort","392","264"
"Pupil destination after key stage 4 study (Percentage %)","Pakistani","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","90","% of cohort","14759","13318"
"Pupil destination after key stage 4 study (Percentage %)","Indian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","95","% of cohort","11964","11416"
"Pupil destination after key stage 4 study (Percentage %)","White and Black African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","87","% of cohort","1487","1300"
"Pupil destination after key stage 4 study (Percentage %)","Chinese","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","97","% of cohort","1699","1641"
"Pupil destination after key stage 4 study (Percentage %)","White - British","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","89","% of cohort","442055","393190"
"Pupil destination after key stage 4 study (Percentage %)","Unclassified","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","86","% of cohort","32367","27966"
"Pupil destination after key stage 4 study (Percentage %)","White and Asian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","91","% of cohort","3292","2981"
"Pupil destination after key stage 4 study (Percentage %)","Any other mixed background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","89","% of cohort","5725","5104"
"Pupil destination after key stage 4 study (Percentage %)","Any other Asian background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","94","% of cohort","4246","3990"
"Pupil destination after key stage 4 study (Percentage %)","White - Irish","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","89","% of cohort","1886","1683"
"Pupil destination after key stage 4 study (Percentage %)","Any other Black background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","89","% of cohort","2329","2083"
"Pupil destination after key stage 4 study (Percentage %)","Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","89","% of cohort","7527","6714"
"Pupil destination after key stage 4 study (Percentage %)","White and Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","86","% of cohort","6188","5338"
"Pupil destination after key stage 4 study (Percentage %)","Other","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","91","% of cohort","4667","4249"
"Pupil destination after key stage 4 study (Percentage %)","Traveller of Irish heritage","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","60","% of cohort","115","69"
"Pupil destination after key stage 4 study (Percentage %)","Bangladeshi","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","92","% of cohort","5977","5492"
"Pupil destination after key stage 4 study (Percentage %)","Black - African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education or employment","93","% of cohort","10134","9378"
"Pupil destination after key stage 4 study (Percentage %)","Gypsy / Roma","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","56","% of cohort","392","220"
"Pupil destination after key stage 4 study (Percentage %)","Any other White background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","86","% of cohort","11601","9983"
"Pupil destination after key stage 4 study (Percentage %)","Pakistani","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","88","% of cohort","14759","12925"
"Pupil destination after key stage 4 study (Percentage %)","Indian","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","94","% of cohort","11964","11222"
"Pupil destination after key stage 4 study (Percentage %)","White and Black African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Education","83","% of cohort","1487","1237"
