"","Arab","Any other","Other"
"Age group","%","%","%"
"Age 0 to 4","11.2","7.3","8.9"
"Age 5 to 9","9.2","6.1","7.4"
"Age 10 to 14","6.9","5.9","6.3"
"Age 15 to 17","3.8","3.9","3.9"
"Age 18 to 24","13.2","11.3","12.1"
"Age 25 to 29","11.4","11.4","11.4"
"Age 30 to 34","10.7","12.2","11.6"
"Age 35 to 39","9.0","10.0","9.6"
"Age 40 to 44","7.2","7.9","7.6"
"Age 45 to 49","5.3","6.4","5.9"
"Age 50 to 54","3.9","5.1","4.6"
"Age 55 to 59","2.8","4.1","3.5"
"Age 60 to 64","2.0","2.9","2.5"
"Age 65 to 69","1.3","1.9","1.7"
"Age 70 to 74","0.9","1.4","1.2"
"Age 75 to 79","0.6","1.0","0.8"
"Age 80 to 84","0.4","0.7","0.5"
"Age 85 and over","0.2","0.5","0.4"
