"years after graduation","Ethnicity","sustained employment further education or both (%)","no sustained destination (%)","activity not captured (%)"
"1 year after graduation","All","87.2","7.8","5.0"
"1 year after graduation","Bangladeshi","86.4","9.3","4.3"
"1 year after graduation","Chinese","80.5","8.2","11.3"
"1 year after graduation","Indian","87.3","8.1","4.6"
"1 year after graduation","Pakistani","83.2","10.4","6.5"
"1 year after graduation","Asian other","83.7","9.8","6.5"
"1 year after graduation","Black African","85.4","9.8","4.9"
"1 year after graduation","Black Caribbean","87.1","9.3","3.5"
"1 year after graduation","Black other","84.8","10.0","5.1"
"1 year after graduation","White","88.1","7.3","4.7"
"1 year after graduation","Other inc Mixed","83.7","9.9","6.4"
"3 years after graduation","All","86.2","6.6","7.2"
"3 years after graduation","Bangladeshi","84.1","10.1","5.8"
"3 years after graduation","Chinese","74.6","6.3","19.1"
"3 years after graduation","Indian","87.2","6.5","6.3"
"3 years after graduation","Pakistani","82.0","9.2","8.8"
"3 years after graduation","Asian other","81.7","8.2","10.1"
"3 years after graduation","Black African","82.5","9.2","8.3"
"3 years after graduation","Black Caribbean","86.1","9.2","4.7"
"3 years after graduation","Black other","79.1","12.3","8.7"
"3 years after graduation","White","87.2","6.0","6.7"
"3 years after graduation","Other inc Mixed","81.2","8.9","9.9"
"5 years after graduation","All","85.1","6.0","8.9"
"5 years after graduation","Bangladeshi","83.1","8.3","8.6"
"5 years after graduation","Chinese","72.7","5.4","21.8"
"5 years after graduation","Indian","86.3","6.4","7.3"
"5 years after graduation","Pakistani","81.0","8.7","10.3"
"5 years after graduation","Asian other","77.8","8.2","14.0"
"5 years after graduation","Black African","79.4","9.4","11.1"
"5 years after graduation","Black Caribbean","85.8","8.6","5.6"
"5 years after graduation","Black other","77.6","10.0","12.4"
"5 years after graduation","White","86.3","5.4","8.4"
"5 years after graduation","Other inc Mixed","79.9","8.4","11.6"
"10 year after graduation","All","82.6","4.7","12.7"
"10 year after graduation","Bangladeshi","80.8","5.9","13.3"
"10 year after graduation","Chinese","68.6","4.8","26.6"
"10 year after graduation","Indian","83.2","5.4","11.4"
"10 year after graduation","Pakistani","77.1","7.6","15.2"
"10 year after graduation","Asian other","75.8","7.0","17.2"
"10 year after graduation","Black African","75.1","8.2","16.8"
"10 year after graduation","Black Caribbean","83.5","7.3","9.2"
"10 year after graduation","Black other","76.4","10.1","13.5"
"10 year after graduation","White","83.7","4.2","12.1"
"10 year after graduation","Other inc Mixed","76.9","6.6","16.6"
