"Measure","tax_year","academic_year","years after graduation","ethnicity","ethnicity_type","earnings quartile","value","value_type"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","All","LEO","earnings LQ","14300","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Asian or Asian British - Bangladeshi","LEO","earnings LQ","12500","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Asian or Asian British - Indian","LEO","earnings LQ","15900","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Asian or Asian British - Pakistani","LEO","earnings LQ","12800","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Black or Black British - African","LEO","earnings LQ","12900","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Black or Black British - Caribbean","LEO","earnings LQ","12300","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Chinese","LEO","earnings LQ","15600","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Other (including mixed)","LEO","earnings LQ","13400","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Other Asian Background","LEO","earnings LQ","14800","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Other Black Background","LEO","earnings LQ","11000","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","Unknown","LEO","earnings LQ","13300","£"
"Earnings of graduates after higher education","2016/2017","2014/2015","1","White","LEO","earnings LQ","14500","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","All","LEO","earnings LQ","17100","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Asian or Asian British - Bangladeshi","LEO","earnings LQ","16100","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Asian or Asian British - Indian","LEO","earnings LQ","19100","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Asian or Asian British - Pakistani","LEO","earnings LQ","15100","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Black or Black British - African","LEO","earnings LQ","14600","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Black or Black British - Caribbean","LEO","earnings LQ","14800","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Chinese","LEO","earnings LQ","18400","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Other (including mixed)","LEO","earnings LQ","16200","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Other Asian Background","LEO","earnings LQ","17100","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Other Black Background","LEO","earnings LQ","14500","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","Unknown","LEO","earnings LQ","15200","£"
"Earnings of graduates after higher education","2016/2017","2012/2013","3","White","LEO","earnings LQ","17400","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","All","LEO","earnings LQ","18500","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Asian or Asian British - Bangladeshi","LEO","earnings LQ","17300","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Asian or Asian British - Indian","LEO","earnings LQ","20400","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Asian or Asian British - Pakistani","LEO","earnings LQ","15000","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Black or Black British - African","LEO","earnings LQ","15500","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Black or Black British - Caribbean","LEO","earnings LQ","15700","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Chinese","LEO","earnings LQ","19700","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Other (including mixed)","LEO","earnings LQ","17900","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Other Asian Background","LEO","earnings LQ","19400","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Other Black Background","LEO","earnings LQ","14900","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","Unknown","LEO","earnings LQ","16000","£"
"Earnings of graduates after higher education","2016/2017","2010/2011","5","White","LEO","earnings LQ","18800","£"
