"","1 year after graduation","3 years after graduation","5 years after graduation","10 years after graduation"
"Ethnicity","Average (median) earnings (£)","Average (median) earnings (£)","Average (median) earnings (£)","Average (median) earnings (£)"
"All","19,900","23,300","26,000","30,500"
"Bangladeshi","17,900","21,800","24,400","27,700"
"Chinese","21,700","25,300","28,100","32,600"
"Indian","21,900","25,700","28,500","33,100"
"Pakistani","18,400","21,000","22,400","24,700"
"Asian other","20,800","24,300","28,500","33,200"
"Black African","19,500","21,900","23,900","28,700"
"Black Caribbean","18,000","21,200","23,300","27,500"
"Black other","17,400","21,000","22,400","27,800"
"White","20,000","23,300","26,100","30,700"
"Other inc Mixed","19,600","23,100","26,100","31,400"
