"Ethnicity","Region","%","Headcount"
"Asian","All","6.6","23,190"
"Asian","North East","1.2","270"
"Asian","North West","4.4","1,910"
"Asian","Yorkshire and The Humber","6.6","1,820"
"Asian","East Midlands","8.9","1,390"
"Asian","West Midlands","14.6","3,240"
"Asian","East","4.9","830"
"Asian","London","16.3","11,220"
"Asian","South East","3.4","1,040"
"Asian","South West","1.7","540"
"Asian","Wales","1.1","310"
"Asian","Scotland","1.2","400"
"Asian","Northern Ireland","0.2","10"
"Asian","Unknown","N/A","60"
"Black","All","3.4","11,990"
"Black","North East","0.4","90"
"Black","North West","1.2","510"
"Black","Yorkshire and The Humber","1.4","390"
"Black","East Midlands","2.4","380"
"Black","West Midlands","4.2","930"
"Black","East","2.4","400"
"Black","London","11.6","7,970"
"Black","South East","1.8","560"
"Black","South West","1.2","380"
"Black","Wales","0.5","150"
"Black","Scotland","0.5","150"
"Black","Northern Ireland","!","!"
"Black","Unknown","N/A","10"
"Chinese","All","0.3","1,080"
"Chinese","North East","0.2","40"
"Chinese","North West","0.3","140"
"Chinese","Yorkshire and The Humber","0.2","50"
"Chinese","East Midlands","0.1","20"
"Chinese","West Midlands","0.2","40"
"Chinese","East","0.3","40"
"Chinese","London","0.7","490"
"Chinese","South East","0.3","90"
"Chinese","South West","0.1","50"
"Chinese","Wales","0.2","50"
"Chinese","Scotland","0.1","40"
"Chinese","Northern Ireland","!","!"
"Chinese","Unknown","N/A","-"
"Mixed","All","1.8","6,140"
"Mixed","North East","0.7","160"
"Mixed","North West","1.3","550"
"Mixed","Yorkshire and The Humber","1.2","340"
"Mixed","East Midlands","1.6","250"
"Mixed","West Midlands","1.7","390"
"Mixed","East","1.5","250"
"Mixed","London","3.7","2,530"
"Mixed","South East","1.6","490"
"Mixed","South West","1.3","410"
"Mixed","Wales","1.5","420"
"Mixed","Scotland","0.6","200"
"Mixed","Northern Ireland","0.6","20"
"Mixed","Unknown","N/A","20"
"White","All","87.3","304,850"
"White","North East","97.4","22,740"
"White","North West","92.6","40,630"
"White","Yorkshire and The Humber","90.2","24,690"
"White","East Midlands","86.6","13,560"
"White","West Midlands","78.8","17,550"
"White","East","90.4","15,460"
"White","London","66.4","45,700"
"White","South East","92.4","28,420"
"White","South West","95.3","30,550"
"White","Wales","96.3","27,010"
"White","Scotland","97.2","31,790"
"White","Northern Ireland","98.9","3,040"
"White","Unknown","N/A","840"
"Other","All","0.6","1,980"
"Other","North East","0.2","40"
"Other","North West","0.3","150"
"Other","Yorkshire and The Humber","0.3","90"
"Other","East Midlands","0.3","50"
"Other","West Midlands","0.5","110"
"Other","East","0.6","110"
"Other","London","1.3","890"
"Other","South East","0.5","160"
"Other","South West","0.4","140"
"Other","Wales","0.3","90"
"Other","Scotland","0.4","120"
"Other","Northern Ireland","0.2","10"
"Other","Unknown","N/A","!"
