"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size","",""
"Percentage of households in a nondecent home","2016-17 and 2017-18","Two years","White British","ONS 2011 18+1","England","All","All","All","All","18.4919877","3530","19092","9762","",""
"Percentage of households in a nondecent home","2016-17 and 2017-18","Two years","White Irish","ONS 2011 18+1","England","All","All","All","All","15.08886797","32","211","113","",""
"Percentage of households in a nondecent home","2016-17 and 2017-18","Two years","White Gypsy or Irish Traveller","ONS 2011 18+1","England","All","All","All","All","?","?","?","2","",""
"Percentage of households in a nondecent home","2016-17 and 2017-18","Two years","White Other","ONS 2011 18+1","England","All","All","All","All","19.64980802","237","1208","678","",""
"Percentage of households in a nondecent home","2016-17 and 2017-18","Two years","Mixed White and Black Caribbean","ONS 2011 18+1","England","All","All","All","All","12.35167147","11","91","49","",""
"Percentage of households in a nondecent home","2016-17 and 2017-18","Two years","Mixed White and Black African","ONS 2011 18+1","England","All","All","All","All","27.05915652","15","57","47","",""
"Percentage of households in a nondecent home","2016-17 and 2017-18","Two years","Mixed White and Asian","ONS 2011 18+1","England","All","All","All","All","?","?","?","26","",""
"Percentage of households in a nondecent home","2016-17 and 2017-18","Two years","Mixed Other","ONS 2011 18+1","England","All","All","All","All","20.14754831","24","121","54","",""
"Percentage of households in a nondecent home","2016-17 and 2017-18","Two years","Indian","ONS 2011 18+1","England","All","All","All","All","14.91430834","72","482","210","",""
"Percentage of households in a nondecent home","2016-17 and 2017-18","Two years","Pakistani","ONS 2011 18+1","England","All","All","All","All","21.47702503","69","319","144","",""
"Percentage of households in a nondecent home","2016-17 and 2017-18","Two years","Bangladeshi","ONS 2011 18+1","England","All","All","All","All","25.38112671","37","146","82","",""
"Percentage of households in a nondecent home","2016-17 and 2017-18","Two years","Chinese","ONS 2011 18+1","England","All","All","All","All","4.436466078","4","94","40","",""
"Percentage of households in a nondecent home","2016-17 and 2017-18","Two years","Asian Other","ONS 2011 18+1","England","All","All","All","All","19.8579615","41","204","95","",""
"Percentage of households in a nondecent home","2016-17 and 2017-18","Two years","Black African","ONS 2011 18+1","England","All","All","All","All","19.58554431","85","432","291","",""
"Percentage of households in a nondecent home","2016-17 and 2017-18","Two years","Black Caribbean","ONS 2011 18+1","England","All","All","All","All","17.29020997","50","289","170","",""
"Percentage of households in a nondecent home","2016-17 and 2017-18","Two years","Black Other","ONS 2011 18+1","England","All","All","All","All","?","?","?","15","",""
"Percentage of households in a nondecent home","2016-17 and 2017-18","Two years","Arab","ONS 2011 18+1","England","All","All","All","All","11.9530798","11","95","46","",""
"Percentage of households in a nondecent home","2016-17 and 2017-18","Two years","Other","ONS 2011 18+1","England","All","All","All","All","20.75048729","57","273","131","",""
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","White British","ONS 2011 18+1","England","All","All","All","All","19.6","3731","19010","9868","",""
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","White Irish","ONS 2011 18+1","England","All","All","All","All","11.4","22","192","109","",""
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","White Gypsy or Irish Traveller","ONS 2011 18+1","England","All","All","All","All","?","?","?","3","",""
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","White Other","ONS 2011 18+1","England","All","All","All","All","18.8","213","1129","610","",""
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","Mixed White and Black Caribbean","ONS 2011 18+1","England","All","All","All","All","8.1","8","96","50","",""
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","Mixed White and Black African","ONS 2011 18+1","England","All","All","All","All","25.8","19","74","52","",""
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","Mixed White and Asian","ONS 2011 18+1","England","All","All","All","All","?","?","?","28","",""
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","Mixed Other","ONS 2011 18+1","England","All","All","All","All","22.8","16","69","30","",""
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","Indian","ONS 2011 18+1","England","All","All","All","All","21.1","98","463","188","",""
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","Pakistani","ONS 2011 18+1","England","All","All","All","All","28","93","331","142","",""
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","Bangladeshi","ONS 2011 18+1","England","All","All","All","All","13.7","19","135","76","",""
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","Chinese","ONS 2011 18+1","England","All","All","All","All","22.9","20","87","36","",""
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","Asian Other","ONS 2011 18+1","England","All","All","All","All","22.9","51","224","97","",""
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","Black African","ONS 2011 18+1","England","All","All","All","All","18.8","78","414","280","",""
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","Black Caribbean","ONS 2011 18+1","England","All","All","All","All","19","63","334","169","",""
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","Black Other","ONS 2011 18+1","England","All","All","All","All","?","?","?","15","",""
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","Arab","ONS 2011 18+1","England","All","All","All","All","19.7","17","85","45","",""
"Percentage of households in England that are non-decent homes","2015-16 and 2016-17","Two years","Other","ONS 2011 18+1","England","All","All","All","All","16.6","41","247","121","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
