"Tariff marker","Ethnicity","%","Number of entrants"
"High","Asian","11.8","32,125"
"High","Black","4.4","12,065"
"High","Mixed","4.6","12,535"
"High","White","77.4","211,170"
"High","Other","1.8","5,020"
"High","Unknown","N/A","6,100"
"Low","Asian","10.7","33,640"
"Low","Black","11.5","36,250"
"Low","Mixed","4.4","13,705"
"Low","White","71.1","224,020"
"Low","Other","2.3","7,385"
"Low","Unknown","N/A","7,875"
"Medium","Asian","12.4","33,985"
"Medium","Black","7.1","19,345"
"Medium","Mixed","4.0","10,930"
"Medium","White","74.7","204,005"
"Medium","Other","1.8","4,850"
"Medium","Unknown","N/A","4,645"
"Other","Asian","13.8","375"
"Other","Black","6.3","170"
"Other","Mixed","5.5","150"
"Other","White","72.3","1,960"
"Other","Other","2.0","55"
"Other","Unknown","N/A","60"
"Total","Asian","11.6","100,125"
"Total","Black","7.9","67,835"
"Total","Mixed","4.3","37,325"
"Total","White","74.2","641,160"
"Total","Other","2.0","17,310"
"Total","Unknown","N/A","18,685"
