"NS-SEC description","Ethnicity","%","Number of Respondents "
"Managerial and professional occupations","All","72.0","89,414"
"Managerial and professional occupations","Asian","59.1","3,630"
"Managerial and professional occupations","Black","60.9","1,155"
"Managerial and professional occupations","Chinese","64.1","569"
"Managerial and professional occupations","Mixed","74.1","1,162"
"Managerial and professional occupations","White British","73.6","74,272"
"Managerial and professional occupations","White other","72.4","5,467"
"Managerial and professional occupations","Other","66.3","662"
"Intermediate occupations and lower supervisory","All","62.6","41,050"
"Intermediate occupations and lower supervisory","Asian","47.1","1,241"
"Intermediate occupations and lower supervisory","Black","59.4","473"
"Intermediate occupations and lower supervisory","Chinese","54.4","133"
"Intermediate occupations and lower supervisory","Mixed","59.2","371"
"Intermediate occupations and lower supervisory","White British","64.3","35,573"
"Intermediate occupations and lower supervisory","White other","60.2","1,993"
"Intermediate occupations and lower supervisory","Other","60.8","239"
"Routine and manual occupations","All","55.6","16,627"
"Routine and manual occupations","Asian","47.2","700"
"Routine and manual occupations","Black","56.3","258"
"Routine and manual occupations","Chinese","38.7","65"
"Routine and manual occupations","Mixed","54.6","184"
"Routine and manual occupations","White British","56.7","13,849"
"Routine and manual occupations","White other","54.7","959"
"Routine and manual occupations","Other","51.7","110"
"Long term unemployed","All","48.0","3,599"
"Long term unemployed","Asian","42.0","508"
"Long term unemployed","Black","43.2","139"
"Long term unemployed","Chinese","?","?"
"Long term unemployed","Mixed","45.5","84"
"Long term unemployed","White British","50.9","2,451"
"Long term unemployed","White other","61.1","149"
"Long term unemployed","Other","?","?"
"Full-time student or unclassified","All","71.3","11,878"
"Full-time student or unclassified","Asian","62.6","1,000"
"Full-time student or unclassified","Black","62.2","393"
"Full-time student or unclassified","Chinese","69.0","161"
"Full-time student or unclassified","Mixed","73.5","307"
"Full-time student or unclassified","White British","75.7","7,977"
"Full-time student or unclassified","White other","75.1","689"
"Full-time student or unclassified","Other","69.8","173"
