"Ethnicity","Geography","%","Number of Respondents "
"All","East Midlands","61.4","21,290"
"All","East","62.6","23,767"
"All","London","64.5","16,148"
"All","North East","60.7","7,535"
"All","North West","62.3","26,908"
"All","South East","65.9","33,262"
"All","South West","67.4","19,541"
"All","West Midlands","58.7","16,268"
"All","Yorkshire and the Humber","62.5","16,816"
"Asian","East Midlands","54.8","701"
"Asian","East","56.7","699"
"Asian","London","53.8","1,962"
"Asian","North East","52.3","168"
"Asian","North West","52.0","1,175"
"Asian","South East","58.5","1,051"
"Asian","South West","64.8","217"
"Asian","West Midlands","52.4","859"
"Asian","Yorkshire and the Humber","47.9","472"
"Black","East Midlands","45.3","230"
"Black","East","65.3","277"
"Black","London","60.0","983"
"Black","North East","79.0","54"
"Black","North West","49.6","307"
"Black","South East","56.1","287"
"Black","South West","45.7","71"
"Black","West Midlands","55.1","199"
"Black","Yorkshire and the Humber","54.2","116"
"Chinese","East Midlands","75.7","88"
"Chinese","East","57.4","115"
"Chinese","London","65.7","265"
"Chinese","North East","?","?"
"Chinese","North West","50.4","124"
"Chinese","South East","56.5","148"
"Chinese","South West","72.9","63"
"Chinese","West Midlands","57.1","72"
"Chinese","Yorkshire and the Humber","42.0","61"
"Mixed","East Midlands","67.7","196"
"Mixed","East","68.2","275"
"Mixed","London","67.4","520"
"Mixed","North East","62.1","59"
"Mixed","North West","64.9","237"
"Mixed","South East","74.4","380"
"Mixed","South West","67.8","149"
"Mixed","West Midlands","55.4","187"
"Mixed","Yorkshire and the Humber","72.9","156"
"White British","East Midlands","62.5","18,484"
"White British","East","63.0","20,094"
"White British","London","70.0","8,424"
"White British","North East","61.3","6,731"
"White British","North West","63.6","23,058"
"White British","South East","66.7","28,183"
"White British","South West","67.7","17,662"
"White British","West Midlands","60.3","13,773"
"White British","Yorkshire and the Humber","64.0","14,927"
"White other","East Midlands","56.6","907"
"White other","East","61.2","1,310"
"White other","London","68.2","2,431"
"White other","North East","65.2","215"
"White other","North West","65.6","1,022"
"White other","South East","67.0","1,905"
"White other","South West","66.0","757"
"White other","West Midlands","58.6","565"
"White other","Yorkshire and the Humber","67.0","542"
"Other","East Midlands","65.6","93"
"Other","East","57.4","151"
"Other","London","61.7","443"
"Other","North East","?","?"
"Other","North West","59.9","155"
"Other","South East","59.0","210"
"Other","South West","63.2","73"
"Other","West Midlands","56.8","87"
"Other","Yorkshire and the Humber","75.7","60"
