"Gender","Ethnicity","%","Number of Respondents "
"All","All","63.3","181,535"
"All","Asian","53.9","7,304"
"All","Black","57.7","2,524"
"All","Chinese","61.0","983"
"All","Mixed","67.5","2,159"
"All","White British","64.6","151,336"
"All","White other","65.3","9,654"
"All","Other","60.9","1,312"
"Female","All","61.5","100,647"
"Female","Asian","49.1","3,853"
"Female","Black","52.9","1,502"
"Female","Chinese","57.4","591"
"Female","Mixed","65.0","1,355"
"Female","White British","63.0","83,826"
"Female","White other","65.5","5,722"
"Female","Other","56.6","737"
"Male","All","65.3","80,135"
"Male","Asian","57.9","3,418"
"Male","Black","63.8","1,007"
"Male","Chinese","65.1","389"
"Male","Mixed","71.3","787"
"Male","White British","66.4","67,123"
"Male","White other","65.0","3,887"
"Male","Other","66.1","561"
