"","Percentage of individuals in bottom income quintile (lowest income)","Percentage of individuals in second income quintile","Percentage of individuals in third income quintile","Percentage of individuals in fourth income quintile","Percentage of individuals in top income quintile (highest income)"
"Ethnicity","%","%","%","%","%"
"Asian","32","22","17","14","15"
"Bangladeshi","37","30","18","12","3"
"Chinese","30","15","17","11","27"
"Indian","21","17","19","19","25"
"Pakistani","47","26","16","7","4"
"Asian other","27","23","17","17","15"
"Black","31","26","19","15","10"
"Mixed","24","19","16","23","18"
"White","18","20","20","21","21"
"White British","18","20","21","21","21"
"White other","19","17","19","20","25"
"Other","30","22","15","17","16"
