"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","All","All","England","Country","All","84","%","264065","312873"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","White","White & Other","England","Country","All","87","%","230328","265821"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","Other","White & Other","England","Country","All","72","%","33737","47052"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","All","All","London","Grouped region","N/A","78","%","39512","50789"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","All","All","Midlands & East","Grouped region","N/A","85","%","73227","86596"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","All","All","North","Grouped region","N/A","86","%","78605","91437"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","All","All","South","Grouped region","N/A","87","%","72721","84051"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","White","White & Other","London","Grouped region","N/A","84","%","26551","31610"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","White","White & Other","Midlands & East","Grouped region","N/A","86","%","64720","74971"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","White","White & Other","North","Grouped region","N/A","87","%","73398","84419"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","White","White & Other","South","Grouped region","N/A","88","%","65659","74821"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","Other","White & Other","London","Grouped region","N/A","68","%","12961","19179"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","Other","White & Other","Midlands & East","Grouped region","N/A","73","%","8507","11625"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","Other","White & Other","North","Grouped region","N/A","74","%","5207","7018"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","Other","White & Other","South","Grouped region","N/A","77","%","7062","9230"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","All","All","N/A","N/A","Acute Trust","85","%","189172","223692"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","All","All","N/A","N/A","Ambulance Trust","69","%","8176","11916"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","All","All","N/A","N/A","Community Provider Trust","89","%","16134","18142"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","All","All","N/A","N/A","Mental Health Trust","86","%","50583","59123"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","White","White & Other","N/A","N/A","Acute Trust","87","%","162936","187038"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","White","White & Other","N/A","N/A","Ambulance Trust","69","%","7884","11360"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","White","White & Other","N/A","N/A","Community Provider Trust","90","%","15032","16638"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","White","White & Other","N/A","N/A","Mental Health Trust","88","%","44476","50785"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","Other","White & Other","N/A","N/A","Acute Trust","72","%","26236","36654"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","Other","White & Other","N/A","N/A","Ambulance Trust","53","%","292","556"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","Other","White & Other","N/A","N/A","Community Provider Trust","73","%","1102","1504"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","N/A","N/A","Other","White & Other","N/A","N/A","Mental Health Trust","73","%","6107","8338"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Barking, Havering And Redbridge University Hospitals NHS Trust","RF4","White","White & Other","London","Grouped region","Acute Trust","81","%","932","1150"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Barking, Havering And Redbridge University Hospitals NHS Trust","RF4","Other","White & Other","London","Grouped region","Acute Trust","68","%","411","604"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Barking, Havering And Redbridge University Hospitals NHS Trust","RF4","All","All","London","Grouped region","Acute Trust","77","%","1343","1754"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","White","White & Other","London","Grouped region","Mental Health Trust","81","%","343","422"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","Other","White & Other","London","Grouped region","Mental Health Trust","72","%","267","372"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","All","All","London","Grouped region","Mental Health Trust","77","%","610","794"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Barts Health NHS Trust","R1H","White","White & Other","London","Grouped region","Acute Trust","82","%","1857","2270"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Barts Health NHS Trust","R1H","Other","White & Other","London","Grouped region","Acute Trust","63","%","1422","2251"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Barts Health NHS Trust","R1H","All","All","London","Grouped region","Acute Trust","73","%","3279","4521"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Camden and Islington NHS Foundation Trust","TAF","White","White & Other","London","Grouped region","Mental Health Trust","85","%","262","308"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Camden and Islington NHS Foundation Trust","TAF","Other","White & Other","London","Grouped region","Mental Health Trust","62","%","103","167"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Camden and Islington NHS Foundation Trust","TAF","All","All","London","Grouped region","Mental Health Trust","77","%","365","475"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Central and North West London NHS Foundation Trust","RV3","White","White & Other","London","Grouped region","Mental Health Trust","87","%","1068","1222"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Central and North West London NHS Foundation Trust","RV3","Other","White & Other","London","Grouped region","Mental Health Trust","69","%","442","636"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Central and North West London NHS Foundation Trust","RV3","All","All","London","Grouped region","Mental Health Trust","81","%","1510","1858"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Central London Community Healthcare NHS Trust","RYX","White","White & Other","London","Grouped region","Community Provider Trust","90","%","445","496"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Central London Community Healthcare NHS Trust","RYX","Other","White & Other","London","Grouped region","Community Provider Trust","69","%","187","272"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Central London Community Healthcare NHS Trust","RYX","All","All","London","Grouped region","Community Provider Trust","82","%","632","768"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Chelsea and Westminster Hospital NHS Foundation Trust","RQM","White","White & Other","London","Grouped region","Acute Trust","89","%","672","754"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Chelsea and Westminster Hospital NHS Foundation Trust","RQM","Other","White & Other","London","Grouped region","Acute Trust","75","%","340","452"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Chelsea and Westminster Hospital NHS Foundation Trust","RQM","All","All","London","Grouped region","Acute Trust","84","%","1012","1206"
"Percentage of NHS staff who said in the NHS staff survey that their trust provides equal opportunities for career progression or promotion","Croydon Health Services NHS Trust","RJ6","White","White & Other","London","Grouped region","Acute Trust","84","%","419","498"
