"","All","Asian","Black","Indian","Mixed/Multiple ethnic groups","Other Asian (inc. Chinese)","Other ethnic group","Pakistani/ Bangladeshi","White","White British","White Other"
"Occupation","%","%","%","%","%","%","%","%","%","%","%"
"Managers, Directors And Senior Officials","11.4","10.8","5.4","12.2","10.1","9.9","10.3","9.9","11.6","11.7","10.9"
"Professional Occupations","21.4","26.9","21.9","33.2","22.2","26.8","22.0","18.8","20.9","20.7","22.6"
"Associate Professional And Technical Occupations","14.5","12.2","11.7","13.4","19.9","12.5","13.0","10.4","14.7","15.0","13.0"
"Administrative And Secretarial Occupations","9.7","8.3","8.6","9.0","7.7","6.8","6.0","8.6","9.9","10.3","7.0"
"Skilled Trades Occupations","10.2","6.2","5.3","5.5","6.9","7.1","8.3","6.4","10.7","10.8","10.5"
"Caring, Leisure And Other Service Occupations","9.1","8.0","17.1","6.7","8.0","10.2","9.0","7.9","8.9","9.2","6.6"
"Sales And Customer Service Occupations","7.3","9.0","7.9","6.5","8.9","8.3","7.3","12.8","7.1","7.4","5.0"
"Process, Plant And Machine Operatives","6.2","8.3","6.4","5.7","3.6","4.7","9.9","14.4","6.0","5.6","9.6"
"Elementary Occupations","10.3","10.3","15.6","7.8","12.6","13.7","14.3","10.9","10.0","9.4","14.8"
