"Ethnicity","Occupation","%"
"All","Managers, Directors And Senior Officials","11.4"
"All","Professional Occupations","21.4"
"All","Associate Professional And Technical Occupations","14.5"
"All","Administrative And Secretarial Occupations","9.7"
"All","Skilled Trades Occupations","10.2"
"All","Caring, Leisure And Other Service Occupations","9.1"
"All","Sales And Customer Service Occupations","7.3"
"All","Process, Plant And Machine Operatives","6.2"
"All","Elementary Occupations","10.3"
"Asian","Managers, Directors And Senior Officials","10.8"
"Asian","Professional Occupations","26.9"
"Asian","Associate Professional And Technical Occupations","12.2"
"Asian","Administrative And Secretarial Occupations","8.3"
"Asian","Skilled Trades Occupations","6.2"
"Asian","Caring, Leisure And Other Service Occupations","8.0"
"Asian","Sales And Customer Service Occupations","9.0"
"Asian","Process, Plant And Machine Operatives","8.3"
"Asian","Elementary Occupations","10.3"
"Black","Managers, Directors And Senior Officials","5.4"
"Black","Professional Occupations","21.9"
"Black","Associate Professional And Technical Occupations","11.7"
"Black","Administrative And Secretarial Occupations","8.6"
"Black","Skilled Trades Occupations","5.3"
"Black","Caring, Leisure And Other Service Occupations","17.1"
"Black","Sales And Customer Service Occupations","7.9"
"Black","Process, Plant And Machine Operatives","6.4"
"Black","Elementary Occupations","15.6"
"Indian","Managers, Directors And Senior Officials","12.2"
"Indian","Professional Occupations","33.2"
"Indian","Associate Professional And Technical Occupations","13.4"
"Indian","Administrative And Secretarial Occupations","9.0"
"Indian","Skilled Trades Occupations","5.5"
"Indian","Caring, Leisure And Other Service Occupations","6.7"
"Indian","Sales And Customer Service Occupations","6.5"
"Indian","Process, Plant And Machine Operatives","5.7"
"Indian","Elementary Occupations","7.8"
"Mixed/Multiple ethnic groups","Managers, Directors And Senior Officials","10.1"
"Mixed/Multiple ethnic groups","Professional Occupations","22.2"
"Mixed/Multiple ethnic groups","Associate Professional And Technical Occupations","19.9"
"Mixed/Multiple ethnic groups","Administrative And Secretarial Occupations","7.7"
"Mixed/Multiple ethnic groups","Skilled Trades Occupations","6.9"
"Mixed/Multiple ethnic groups","Caring, Leisure And Other Service Occupations","8.0"
"Mixed/Multiple ethnic groups","Sales And Customer Service Occupations","8.9"
"Mixed/Multiple ethnic groups","Process, Plant And Machine Operatives","3.6"
"Mixed/Multiple ethnic groups","Elementary Occupations","12.6"
"Other Asian (inc. Chinese)","Managers, Directors And Senior Officials","9.9"
"Other Asian (inc. Chinese)","Professional Occupations","26.8"
"Other Asian (inc. Chinese)","Associate Professional And Technical Occupations","12.5"
"Other Asian (inc. Chinese)","Administrative And Secretarial Occupations","6.8"
"Other Asian (inc. Chinese)","Skilled Trades Occupations","7.1"
"Other Asian (inc. Chinese)","Caring, Leisure And Other Service Occupations","10.2"
"Other Asian (inc. Chinese)","Sales And Customer Service Occupations","8.3"
"Other Asian (inc. Chinese)","Process, Plant And Machine Operatives","4.7"
"Other Asian (inc. Chinese)","Elementary Occupations","13.7"
"Other ethnic group","Managers, Directors And Senior Officials","10.3"
"Other ethnic group","Professional Occupations","22.0"
"Other ethnic group","Associate Professional And Technical Occupations","13.0"
"Other ethnic group","Administrative And Secretarial Occupations","6.0"
"Other ethnic group","Skilled Trades Occupations","8.3"
"Other ethnic group","Caring, Leisure And Other Service Occupations","9.0"
"Other ethnic group","Sales And Customer Service Occupations","7.3"
"Other ethnic group","Process, Plant And Machine Operatives","9.9"
"Other ethnic group","Elementary Occupations","14.3"
"Pakistani/ Bangladeshi","Managers, Directors And Senior Officials","9.9"
"Pakistani/ Bangladeshi","Professional Occupations","18.8"
"Pakistani/ Bangladeshi","Associate Professional And Technical Occupations","10.4"
"Pakistani/ Bangladeshi","Administrative And Secretarial Occupations","8.6"
"Pakistani/ Bangladeshi","Skilled Trades Occupations","6.4"
"Pakistani/ Bangladeshi","Caring, Leisure And Other Service Occupations","7.9"
"Pakistani/ Bangladeshi","Sales And Customer Service Occupations","12.8"
"Pakistani/ Bangladeshi","Process, Plant And Machine Operatives","14.4"
"Pakistani/ Bangladeshi","Elementary Occupations","10.9"
"White","Managers, Directors And Senior Officials","11.6"
"White","Professional Occupations","20.9"
"White","Associate Professional And Technical Occupations","14.7"
"White","Administrative And Secretarial Occupations","9.9"
"White","Skilled Trades Occupations","10.7"
"White","Caring, Leisure And Other Service Occupations","8.9"
"White","Sales And Customer Service Occupations","7.1"
"White","Process, Plant And Machine Operatives","6.0"
"White","Elementary Occupations","10.0"
"White British","Managers, Directors And Senior Officials","11.7"
"White British","Professional Occupations","20.7"
"White British","Associate Professional And Technical Occupations","15.0"
"White British","Administrative And Secretarial Occupations","10.3"
"White British","Skilled Trades Occupations","10.8"
"White British","Caring, Leisure And Other Service Occupations","9.2"
"White British","Sales And Customer Service Occupations","7.4"
"White British","Process, Plant And Machine Operatives","5.6"
"White British","Elementary Occupations","9.4"
"White Other","Managers, Directors And Senior Officials","10.9"
"White Other","Professional Occupations","22.6"
"White Other","Associate Professional And Technical Occupations","13.0"
"White Other","Administrative And Secretarial Occupations","7.0"
"White Other","Skilled Trades Occupations","10.5"
"White Other","Caring, Leisure And Other Service Occupations","6.6"
"White Other","Sales And Customer Service Occupations","5.0"
"White Other","Process, Plant And Machine Operatives","9.6"
"White Other","Elementary Occupations","14.8"
