"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_Type","Geography_code","Age","Value","Value_type","Denominator","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","All","All","202021","Academic year","England","National","E92000001","16-18","28.856","%","212604","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","Other","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","23.154","%","3874","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","Asian","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","25.233","%","26921","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","Asian Other","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","27.131","%","5127","","","","","",""," "
"Percentage of Students who achieved three A's at A Level, by ethnicity","Bangladeshi","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","21.352","%","4468","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","Indian","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","33.221","%","8886","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","Pakistani","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","17.725","%","8440","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","Black","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","16.478","%","10578","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","Black Other","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","17.085","%","1194","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","Black African","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","17.303","%","7808","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","Black Caribbean","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","11.929","%","1576","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","Chinese","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","42.166","%","1385","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","Mixed","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","25.828","%","9904","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","Mixed Other","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","25.949","%","4108","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","Mixed White and Asian","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","31.900","%","2931","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","Mixed White and Black African","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","20.591","%","1185","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","Mixed White and Black Caribbean","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","18.631","%","1680","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","Unknown","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","45.888","%","36247","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","White","ONS 2011 5+1","202021","Academic year","England","National","E92000001","16-18","25.985","%","123695","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","White Other","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","26.543","%","9931","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","Gypsy/Roma","ONS 2011 18+1 ","202021","Academic year","England","National","E92000001","16-18","10.811","%","37","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","Irish Traveller","ONS 2011 18+1 ","202021","Academic year","England","National","E92000001","16-18","20.000","%","15","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","White British","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","25.929","%","112904","","","","","","",""
"Percentage of Students who achieved three A's at A Level, by ethnicity","White Irish","ONS 2011 18+1","202021","Academic year","England","National","E92000001","16-18","27.723","%","808","","","","","","",""
"","","","","","","","","",""," ","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"",""," ","","","","","","","","","","","","","","","",""
"",""," ","","","","","","","","","","","","","","","",""
