"Measure","Time","Time_type","Ethnicity","Gender","FSM eligibility","Value","Denominator"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White British","All","All pupils","72","424179"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Irish","All","All pupils","74","1598"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Traveller of Irish heritage","All","All pupils","31","591"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Gypsy / Roma","All","All pupils","33","2024"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other white background","All","All pupils","64","45606"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Black Caribbean","All","All pupils","68","9973"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Black African","All","All pupils","72","5683"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White and Asian","All","All pupils","74","10288"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other mixed background","All","All pupils","72","15677"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Indian","All","All pupils","77","20190"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Pakistani","All","All pupils","63","27076"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Bangladeshi","All","All pupils","66","10271"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other Asian background","All","All pupils","69","11617"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black Caribbean","All","All pupils","67","5659"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Black African","All","All pupils","69","22099"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other black background","All","All pupils","67","4584"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Chinese","All","All pupils","76","3278"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Any other ethnic group","All","All pupils","62","12037"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","All pupils","All","All pupils","70","652349"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","White British","All","FSM eligible","53","58458"
"Percentage achieving at least the expected standard in all ELGs","2018","Year","Irish","All","FSM eligible","44","215"
