"FSM_eligible","Ethnicity","%","Pupils"
"All other pupils","All","73","565,159"
"All other pupils","Asian","",""
"All other pupils","Bangladeshi","67","8,802"
"All other pupils","Indian","77","19,484"
"All other pupils","Pakistani","63","23,730"
"All other pupils","Asian other","70","10,427"
"All other pupils","Black","",""
"All other pupils","Black African","70","17,743"
"All other pupils","Black Caribbean","69","4,144"
"All other pupils","Black other","68","3,654"
"All other pupils","Chinese","77","3,092"
"All other pupils","Mixed","",""
"All other pupils","Mixed White/Asian","77","8,958"
"All other pupils","Mixed White/Black African","74","4,534"
"All other pupils","Mixed White/Black Caribbean","73","7,012"
"All other pupils","Mixed other","74","13,144"
"All other pupils","White","",""
"All other pupils","White British","75","365,721"
"All other pupils","White Irish","78","1,383"
"All other pupils","Gypsy/Roma","34","1,462"
"All other pupils","Irish traveller","37","301"
"All other pupils","White other","65","42,933"
"All other pupils","Other","63","9,817"
"FSM eligible","All","55","87,190"
"FSM eligible","Asian","",""
"FSM eligible","Bangladeshi","59","1,469"
"FSM eligible","Indian","63","706"
"FSM eligible","Pakistani","58","3,346"
"FSM eligible","Asian other","61","1,190"
"FSM eligible","Black","",""
"FSM eligible","Black African","63","4,356"
"FSM eligible","Black Caribbean","64","1,515"
"FSM eligible","Black other","60","930"
"FSM eligible","Chinese","62","186"
"FSM eligible","Mixed","",""
"FSM eligible","Mixed White/Asian","59","1,330"
"FSM eligible","Mixed White/Black African","61","1,149"
"FSM eligible","Mixed White/Black Caribbean","58","2,961"
"FSM eligible","Mixed other","63","2,533"
"FSM eligible","White","",""
"FSM eligible","White British","53","58,458"
"FSM eligible","White Irish","44","215"
"FSM eligible","Gypsy/Roma","32","562"
"FSM eligible","Irish traveller","24","290"
"FSM eligible","White other","55","2,673"
"FSM eligible","Other","56","2,220"
