"Gender","Ethnicity","%","All pupils"
"Boys","All","63","334,079"
"Boys","Asian","",""
"Boys","Bangladeshi","58","5,180"
"Boys","Indian","70","10,236"
"Boys","Pakistani","55","13,813"
"Boys","Asian other","61","5,930"
"Boys","Black","",""
"Boys","Black African","61","11,158"
"Boys","Black Caribbean","59","2,861"
"Boys","Black other","59","2,368"
"Boys","Chinese","69","1,683"
"Boys","Mixed","",""
"Boys","Mixed White/Asian","67","5,288"
"Boys","Mixed White/Black African","65","2,932"
"Boys","Mixed White/Black Caribbean","60","5,133"
"Boys","Mixed other","66","8,044"
"Boys","White","",""
"Boys","White British","65","217,461"
"Boys","White Irish","68","807"
"Boys","Gypsy/Roma","28","1,067"
"Boys","Irish Traveller","23","312"
"Boys","White other","58","23,487"
"Boys","Other","54","6,193"
"Girls","All","77","318,270"
"Girls","Asian","",""
"Girls","Bangladeshi","74","5,091"
"Girls","Indian","84","9,954"
"Girls","Pakistani","71","13,263"
"Girls","Asian other","76","5,687"
"Girls","Black","",""
"Girls","Black African","77","10,941"
"Girls","Black Caribbean","75","2,798"
"Girls","Black other","75","2,216"
"Girls","Chinese","83","1,595"
"Girls","Mixed","",""
"Girls","Mixed White/Asian","82","5,000"
"Girls","Mixed White/Black African","79","2,751"
"Girls","Mixed White/Black Caribbean","77","4,840"
"Girls","Mixed other","79","7,633"
"Girls","White","",""
"Girls","White British","79","206,718"
"Girls","White Irish","80","791"
"Girls","Gypsy/Roma","40","957"
"Girls","Irish Traveller","39","279"
"Girls","White other","71","22,119"
"Girls","Other","70","5,844"
