"Ethnicity","Rate","Number"
"Asian","2.03","18,657"
"Bangladeshi","1.97","2,847"
"Indian","0.88","2,263"
"Pakistani","3.10","11,239"
"Asian other","1.50","2,308"
"Black","5.54","25,800"
"Black African","4.13","13,015"
"Black Caribbean","10.37","9,112"
"Black other","5.91","3,673"
"Chinese","0.56","205"
"Mixed","6.29","30,748"
"Mixed White/Asian","3.79","4,414"
"Mixed White/Black African","6.22","4,121"
"Mixed White/Black Caribbean","10.69","13,337"
"Mixed other","4.89","8,876"
"White","5.80","348,338"
"White British","6.01","324,929"
"White Irish","4.93","1,116"
"Gypsy/Roma","21.26","5,813"
"Irish Traveller","14.63","925"
"White other","2.89","15,555"
"Other","3.34","5,343"
"Unknown","8.47","9,174"
