"Ethnicity","Time","Rate per 1,000 prisoners","Number"
"Asian","2012","0.5","3"
"Asian","2013","0.9","6"
"Asian","2014","0.5","3"
"Asian","2015","0.7","5"
"Asian","2016","1.2","8"
"Asian","2017","0.7","5"
"Asian","2018","0.3","2"
"Asian","2019","0.3","2"
"Asian","2020","0.5","3"
"Black","2012","0.4","4"
"Black","2013","0.7","8"
"Black","2014","0.4","4"
"Black","2015","0.3","3"
"Black","2016","0.7","7"
"Black","2017","0.1","1"
"Black","2018","0.5","5"
"Black","2019","0.3","3"
"Black","2020","0.2","2"
"Mixed","2012","1.6","5"
"Mixed","2013","0.6","2"
"Mixed","2014","0.6","2"
"Mixed","2015","0.9","3"
"Mixed","2016","0.8","3"
"Mixed","2017","0.5","2"
"Mixed","2018","0.3","1"
"Mixed","2019","0.8","3"
"Mixed","2020","0.5","2"
"White","2012","0.8","49"
"White","2013","1.0","60"
"White","2014","1.3","80"
"White","2015","1.2","78"
"White","2016","1.7","105"
"White","2017","1.0","63"
"White","2018","1.3","79"
"White","2019","1.3","75"
"White","2020","1.0","57"
"Other","2012","0.0","0"
"Other","2013","0.0","0"
"Other","2014","0.0","0"
"Other","2015","1.0","1"
"Other","2016","1.0","1"
"Other","2017","1.8","2"
"Other","2018","4.2","5"
"Other","2019","1.6","2"
"Other","2020","2.5","3"
