"NS SEC","Ethnicity","%","Number of Respondents"
"Managerial and professional occupations","All","71","90,455"
"Managerial and professional occupations","Asian","59","3,468"
"Managerial and professional occupations","Black","61","1,178"
"Managerial and professional occupations","Chinese","66","526"
"Managerial and professional occupations","Mixed","74","1,042"
"Managerial and professional occupations","White British","73","75,262"
"Managerial and professional occupations","White other","71","5,519"
"Managerial and professional occupations","Other","64","626"
"Intermediate occupations and lower supervisory","All","62","42,837"
"Intermediate occupations and lower supervisory","Asian","50","1,334"
"Intermediate occupations and lower supervisory","Black","52","495"
"Intermediate occupations and lower supervisory","Chinese","45","189"
"Intermediate occupations and lower supervisory","Mixed","69","356"
"Intermediate occupations and lower supervisory","White British","63","37,095"
"Intermediate occupations and lower supervisory","White other","61","1,972"
"Intermediate occupations and lower supervisory","Other","62","232"
"Routine and manual occupations","All","56","17,677"
"Routine and manual occupations","Asian","48","748"
"Routine and manual occupations","Black","53","292"
"Routine and manual occupations","Chinese","45","69"
"Routine and manual occupations","Mixed","68","195"
"Routine and manual occupations","White British","57","14,695"
"Routine and manual occupations","White other","58","1,021"
"Routine and manual occupations","Other","43","138"
"Long term unemployed","All","49","3,572"
"Long term unemployed","Asian","42","478"
"Long term unemployed","Black","43","151"
"Long term unemployed","Chinese","?","*"
"Long term unemployed","Mixed","62","66"
"Long term unemployed","White British","51","2,416"
"Long term unemployed","White other","58","152"
"Long term unemployed","Other","37","89"
"Full-time student or unclassified","All","70","12,806"
"Full-time student or unclassified","Asian","64","1,026"
"Full-time student or unclassified","Black","64","448"
"Full-time student or unclassified","Chinese","67","155"
"Full-time student or unclassified","Mixed","75","332"
"Full-time student or unclassified","White British","73","8,721"
"Full-time student or unclassified","White other","75","679"
"Full-time student or unclassified","Other","64","201"
