"","Asian","","Black","","Mixed","","White","","Other","","Unknown",""
"Time","%","Participants","%","Participants","%","Participants","%","Participants","%","Participants","%","Participants"
"2002/03","2.1","3,510","1.5","2,560","1.1","1,770","93.8","157,270","0.6","1,060","0.9","1,520"
"2003/04","2.2","4,210","1.5","2,820","1.2","2,260","94.1","182,140","0.3","670","0.8","1,460"
"2004/05","2.5","4,660","1.5","2,920","1.3","2,460","93.4","176,450","0.4","820","0.9","1,720"
"2005/06","2.3","4,100","1.3","2,350","1.3","2,310","93.8","164,120","0.4","750","0.8","1,340"
"2006/07","2.5","4,680","1.3","2,430","1.4","2,660","93.5","172,470","0.4","750","0.8","1,440"
"2007/08","2.9","6,500","1.6","3,600","1.4","3,150","92.6","208,230","0.4","1,000","1.0","2,290"
"2008/09","3.9","9,450","2.1","5,110","1.6","3,840","90.8","217,890","0.5","1,220","1.0","2,450"
"2009/10","3.4","9,390","2.3","6,390","1.8","5,020","91.1","254,780","0.5","1,430","1.0","2,660"
"2010/11","4.2","19,270","3.2","14,610","1.8","8,290","89.0","407,050","0.8","3,440","1.0","4,550"
"2011/12","4.0","20,720","3.3","17,350","1.9","9,850","89.3","464,960","0.7","3,430","0.8","4,270"
"2012/13","3.9","19,690","3.3","16,590","2.0","10,110","89.3","455,440","0.7","3,380","1.0","5,010"
"2013/14","4.2","18,600","3.1","13,650","2.2","9,470","88.9","391,480","0.7","3,110","0.9","4,110"
"2014/15","4.3","21,510","3.5","17,250","2.2","10,930","88.5","442,340","0.7","3,500","0.9","4,380"
"2015/16","4.2","21,380","3.4","17,500","2.2","11,100","88.1","448,830","0.7","3,500","1.4","7,060"
"2016/17","4.4","22,000","3.7","18,100","2.2","11,000","87.7","434,200","0.8","4,200","1.1","5,400"
"2017/18","4.6","17,430","3.3","12,340","2.5","9,390","87.2","327,720","0.8","3,070","1.5","5,820"
