"","Bottom quintile (lowest income)","Second lowest quintile","Middle quintile","Second highest quintile","Top quintile (highest income)"
"Ethnicity","%","%","%","%","%"
"Asian","31","22","17","15","14"
"Bangladeshi","39","28","19","11","4"
"Chinese","28","14","20","16","22"
"Indian","21","17","19","21","22"
"Pakistani","46","26","16","7","5"
"Asian other","24","28","15","18","15"
"Black","30","25","20","15","10"
"Mixed","27","17","17","23","16"
"White","18","20","20","21","21"
"White British","18","20","21","21","21"
"White other","20","18","17","20","25"
"Other","30","21","15","18","16"
