"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Value","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2012","Year","White","ONS 5+1 2001","325","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2012","Year","Asian","ONS 5+1 2001","91","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2012","Year","Black","ONS 5+1 2001","65","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2012","Year","Mixed","ONS 5+1 2001","136","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2012","Year","Other","ONS 5+1 2001","157","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2013","Year","White","ONS 5+1 2001","326","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2013","Year","Asian","ONS 5+1 2001","98","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2013","Year","Black","ONS 5+1 2001","72","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2013","Year","Mixed","ONS 5+1 2001","198","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2013","Year","Other","ONS 5+1 2001","213","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2014","Year","White","ONS 5+1 2001","363","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2014","Year","Asian","ONS 5+1 2001","83","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2014","Year","Black","ONS 5+1 2001","72","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2014","Year","Mixed","ONS 5+1 2001","231","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2014","Year","Other","ONS 5+1 2001","185","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2015","Year","White","ONS 5+1 2001","450","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2015","Year","Asian","ONS 5+1 2001","124","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2015","Year","Black","ONS 5+1 2001","81","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2015","Year","Mixed","ONS 5+1 2001","274","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2015","Year","Other","ONS 5+1 2001","225","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2016","Year","White","ONS 5+1 2001","551","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2016","Year","Asian","ONS 5+1 2001","146","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2016","Year","Black","ONS 5+1 2001","94","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2016","Year","Mixed","ONS 5+1 2001","387","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2016","Year","Other","ONS 5+1 2001","347","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2017","Year","White","ONS 5+1 2001","621","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2017","Year","Asian","ONS 5+1 2001","148","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2017","Year","Black","ONS 5+1 2001","100","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2017","Year","Mixed","ONS 5+1 2001","328","","","","","","","","","","","",""
"Number of self-harm incidents per 1000","2017","Year","Other","ONS 5+1 2001","357","","","","","","","","","","","",""
