"Ethnicity","Highest qualification held",""
"All","All","73%"
"All","Level 4 and above","83%"
"All","Level 3","78%"
"All","Level 2","69%"
"All","Below Level 2","63%"
"All","Other qualifications","65%"
"All","No qualifications","38%"
"Asian","All","57%"
"Asian","Level 4 and above","75%"
"Asian","Level 3","61%"
"Asian","Level 2","49%"
"Asian","Below Level 2","41%"
"Asian","Other qualifications","45%"
"Asian","No qualifications","19%"
"Black","All","68%"
"Black","Level 4 and above","81%"
"Black","Level 3","71%"
"Black","Level 2","58%"
"Black","Below Level 2","54%"
"Black","Other qualifications","59%"
"Black","No qualifications","40%"
"Mixed","All","68%"
"Mixed","Level 4 and above","84%"
"Mixed","Level 3","65%"
"Mixed","Level 2","52%"
"Mixed","Below Level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"White","All","75%"
"White","Level 4 and above","85%"
"White","Level 3","79%"
"White","Level 2","71%"
"White","Below Level 2","65%"
"White","Other qualifications","70%"
"White","No qualifications","41%"
"Other","All","59%"
"Other","Level 4 and above","72%"
"Other","Level 3","50%"
"Other","Level 2","59%"
"Other","Below Level 2","?"
"Other","Other qualifications","49%"
"Other","No qualifications","33%"
